"gene"	"Mean_cloneA"	"Mean_cloneB_del7"	"log2fc"	"ExpressingCells_cloneA"	"nCells_cloneA"	"nCells_cloneB_del7"	"ExpressingCells_cloneB_del7"	"ExpressingFraction_cloneA"	"ExpressingFraction_cloneB_del7"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"MGST3"	"MGST3"	0.481110203242602	0.783364048919201	0.302253845676599	584	248	80	57	0.136986301369863	0.229838709677419	0.00136944138943672	0.00145758754355335	0.00111102532850311	2.32118191742759e-05	0.000278450803349451	"NA"	NA
"INTS10"	"INTS10"	0.494001531546798	0.788730373228549	0.294728841681751	584	248	84	59	0.143835616438356	0.237903225806452	0.00142641496892853	0.00129234656904857	0.00127703822805554	2.36243191280113e-05	0.000283121614936676	"NA"	NA
"PDCD2"	"PDCD2"	0.333991957516897	0.59353172402793	0.259539766511032	584	248	60	46	0.102739726027397	0.185483870967742	0.001574567417333	0.00143105847766809	0.00115658267571674	2.36877089021826e-05	0.000283603528500104	"NA"	NA
"SLC25A36"	"SLC25A36"	2.74174814430015	3.28774011364624	0.545991969346084	584	248	368	188	0.63013698630137	0.758064516129032	0.000457773329379822	0.00029350228670264	0.00567076742859418	2.38107592892663e-05	0.000284798094490188	"up_in_cloneBdel7"	NA
"NUFIP1"	"NUFIP1"	0.102258198965359	0.280610737052938	0.178352538087578	584	248	20	22	0.0342465753424658	0.0887096774193548	0.00187688292380453	0.00167825338129143	0.00100211617275214	2.40424818459253e-05	0.000287288874869865	"NA"	NA
"GPATCH2"	"GPATCH2"	0.139773167917946	0.356525451563052	0.216752283645105	584	248	23	24	0.0393835616438356	0.0967741935483871	0.001835215956339	0.00166652612370209	0.00101385558343331	2.4146328763322e-05	0.000288248271949276	"NA"	NA
"TOPORS-AS1"	"TOPORS-AS1"	0.186241750226688	0.371524684139353	0.185282933912665	584	248	46	38	0.0787671232876712	0.153225806451613	0.00171869333516374	0.0015941437493165	0.00106461968711083	2.42465262259576e-05	0.000288933746214725	"NA"	NA
"ATOX1"	"ATOX1"	0.398877412503668	0.727433988747631	0.328556576243963	584	248	62	47	0.106164383561644	0.189516129032258	0.00164955790018592	0.00159089072151942	0.00106700718004661	2.42509772280584e-05	0.000288933746214725	"NA"	NA
"HIST2H3C"	"HIST2H3C"	0.360816290599027	0.579860014398555	0.219043723799528	584	248	74	54	0.126712328767123	0.217741935483871	0.00126525104421595	0.00152721502850753	0.00113445489666835	2.47165003144554e-05	0.000294193674949101	"NA"	NA
"FAM178A"	"FAM178A"	0.176032228557622	0.365750991320264	0.189718762762642	584	248	29	28	0.0496575342465753	0.112903225806452	0.00161492122803207	0.0015061936722721	0.00115175160285686	2.47457424081022e-05	0.000294255494757568	"NA"	NA
"ATF4"	"ATF4"	1.84063313257332	2.2597078385225	0.419074705949181	584	248	262	146	0.448630136986301	0.588709677419355	0.000293188138880806	0.000266268576563479	0.00654162091165319	2.48394707396744e-05	0.000295083265990928	"NA"	NA
"CFL1"	"CFL1"	4.75955960467626	5.23761939014747	0.47805978547121	584	248	542	245	0.928082191780822	0.987903225806452	0.000894119415438568	0.000167998200749694	0.0104105265524657	2.49338932593659e-05	0.000295813218750177	"NA"	NA
"APEX1"	"APEX1"	0.789984954111211	1.07278848767109	0.282803533559878	584	248	127	82	0.217465753424658	0.330645161290323	0.000791706809232999	0.000863296398911144	0.0020272406335835	2.49492678775893e-05	0.000295813218750177	"NA"	NA
"DPM3"	"DPM3"	0.592299601256942	0.988572693597986	0.396273092341044	584	248	118	75	0.202054794520548	0.30241935483871	0.00230800413021109	0.00222059761734433	0.00079486341016476	2.51475412553894e-05	0.000297875425751157	"NA"	NA
"RARRES2"	"RARRES2"	0.375815531120522	0.0708551736217371	-0.304960357498785	584	248	48	6	0.0821917808219178	0.0241935483870968	0.00315397139928396	0.00113250763189726	0.00156214744686188	2.52014811158318e-05	0.000298225650805917	"NA"	NA
"PIK3CD"	"PIK3CD"	0.129071379408083	0.289585908241691	0.160514528833609	584	248	21	23	0.035958904109589	0.092741935483871	0.00148197974610845	0.00187738646260489	0.000953105190378925	2.54689535916566e-05	0.000301099629128029	"NA"	NA
"RPL7L1"	"RPL7L1"	1.2245974374437	1.57098560599625	0.346388168552544	584	248	190	113	0.325342465753425	0.455645161290323	0.000475913728188976	0.000396832726382859	0.0045678840876694	2.57776639425729e-05	0.000304455111970388	"NA"	NA
"NAP1L1"	"NAP1L1"	1.18919057069365	1.65875613178305	0.469565561089408	584	248	203	115	0.347602739726027	0.463709677419355	0.00210837555066365	0.0018131921411631	0.00100306326437669	2.58577782999249e-05	0.000305106822833058	"NA"	NA
"RPL18A"	"RPL18A"	5.11938907780688	5.59895757649428	0.479568498687406	584	248	552	245	0.945205479452055	0.987903225806452	0.00885690151788594	0.00394505127819874	0.000468442782684555	2.62446059530959e-05	0.000309372830869057	"NA"	NA
"LUZP1"	"LUZP1"	1.00273434144947	1.35476188950355	0.352027548054078	584	248	133	86	0.227739726027397	0.346774193548387	0.000501007210309586	0.000552141728300624	0.00341654124613592	2.67509347157637e-05	0.000315037956864374	"NA"	NA
"FBXO33"	"FBXO33"	0.146479762439695	0.317192364395562	0.170712601955868	584	248	26	26	0.0445205479452055	0.104838709677419	0.00174123716734108	0.00160350035098492	0.00117869084060016	2.67985956217623e-05	0.000315295784642196	"NA"	NA
"TFAM"	"TFAM"	0.442734695619966	0.720973525789157	0.278238830169191	584	248	74	54	0.126712328767123	0.217741935483871	0.00126525104421595	0.00152721502850753	0.00125100910798205	2.7069031020976e-05	0.000318171626870953	"NA"	NA
"C9orf142"	"C9orf142"	0.311537605754391	0.498902259282988	0.187364653528596	584	248	63	48	0.107876712328767	0.193548387096774	0.00131420009311418	0.00120273522166973	0.00159967892294525	2.72458353022373e-05	0.000319601641740453	"NA"	NA
"AF127577.11"	"AF127577.11"	0.244331937831136	0.479749851236243	0.235417913405107	584	248	53	42	0.0907534246575342	0.169354838709677	0.00167984228237789	0.00180407192401969	0.00106665832452699	2.72502857254844e-05	0.000319601641740453	"NA"	NA
"ST13"	"ST13"	0.646833863712333	0.931025717189447	0.284191853477115	584	248	115	75	0.196917808219178	0.30241935483871	0.00125675413742628	0.00114233767904064	0.00168586123555131	2.72699538341818e-05	0.000319601641740453	"NA"	NA
"EIF4EBP1"	"EIF4EBP1"	1.75833062587262	2.23809635024037	0.479765724367751	584	248	243	137	0.416095890410959	0.55241935483871	0.000408203904991657	0.00034493489863523	0.00558870409004284	2.72951712666536e-05	0.000319601641740453	"NA"	NA
"BOLA2B"	"BOLA2B"	0.419355946381046	0.6642814404522	0.244925494071154	584	248	78	56	0.133561643835616	0.225806451612903	0.00133718381505855	0.00133351748605846	0.00145311077604665	2.74268626249869e-05	0.000320836607150421	"NA"	NA
"CTD-2035E11.3"	"CTD-2035E11.3"	0.0703292375051496	0.237338074622174	0.167008837117024	584	248	14	18	0.023972602739726	0.0725806451612903	0.00170202178861018	0.00239322808936411	0.000814983793334963	2.75937909378335e-05	0.000322481018066219	"NA"	NA
"PTDSS1"	"PTDSS1"	0.600028997945619	0.931696151065198	0.331667153119579	584	248	102	68	0.174657534246575	0.274193548387097	0.00156133629960633	0.00139068813611727	0.00140721740257995	2.76800067166631e-05	0.000323179925749132	"NA"	NA
"PEX2"	"PEX2"	0.442630366093177	0.720402274834591	0.277771908741414	584	248	80	57	0.136986301369863	0.229838709677419	0.00136944138943672	0.00145758754355335	0.00134548626668215	2.77347274209745e-05	0.000323510128429976	"NA"	NA
"NAA16"	"NAA16"	0.243213407630148	0.422565052599862	0.179351644969714	584	248	47	39	0.0804794520547945	0.157258064516129	0.00136004254192186	0.0016831416605641	0.00117500994014477	2.79520807210633e-05	0.000325734914002791	"NA"	NA
"CTSB"	"CTSB"	0.748945984376242	0.992424875372943	0.243478890996701	584	248	120	79	0.205479452054795	0.318548387096774	0.00065376358154688	0.000704026774971232	0.00283098680980174	2.81540460156899e-05	0.000327776314983807	"NA"	NA
"LIPT1"	"LIPT1"	0.0589699979015079	0.18406372618806	0.125093728286552	584	248	9	14	0.0154109589041096	0.0564516129032258	0.00212942093989256	0.00194696733184179	0.00103085541509771	2.83371196546693e-05	0.000329594102751458	"NA"	NA
"NASP"	"NASP"	0.386014489797166	0.646460301207002	0.260445811409836	584	248	73	53	0.125	0.213709677419355	0.00158180545599515	0.00147712942563403	0.00136537323261268	2.84655445808099e-05	0.000330773412621833	"NA"	NA
"COBLL1"	"COBLL1"	0.065582617970048	0.201495276765648	0.1359126587956	584	248	13	17	0.0222602739726027	0.0685483870967742	0.00212262616949544	0.00191355202006226	0.00105648752876166	2.85286284577745e-05	0.000331191933405435	"NA"	NA
"HEXA"	"HEXA"	0.968436479324178	1.24444191800746	0.276005438683286	584	248	169	103	0.289383561643836	0.415322580645161	0.000537305022480199	0.00050233321003224	0.00413109261846916	2.92299360413321e-05	0.000339011845878426	"NA"	NA
"CCM2"	"CCM2"	0.54124440734328	0.234718031046476	-0.306526376296805	584	248	89	18	0.152397260273973	0.0725806451612903	0.00242487717452182	0.00143129424732846	0.00145189116812859	2.92678617105321e-05	0.000339130261259537	"NA"	NA
"ABL1"	"ABL1"	0.130284290537604	0.273839540476989	0.143555249939386	584	248	23	24	0.0393835616438356	0.0967741935483871	0.001835215956339	0.00166652612370209	0.00125206761920904	2.93793194434189e-05	0.000340099671437723	"NA"	NA
"RP11-264I13.2"	"RP11-264I13.2"	0.280656926003621	0.472536073947804	0.191879147944183	584	248	56	44	0.0958904109589041	0.17741935483871	0.00141611787608964	0.00153058111329572	0.00140113765227131	3.013652520668e-05	0.000348535465433778	"NA"	NA
"TSPO"	"TSPO"	2.94152354008957	3.48375262629625	0.542229086206683	584	248	360	185	0.616438356164384	0.745967741935484	0.000438965041635624	0.000324689808397107	0.00661857548445879	3.01943328326643e-05	0.000348874274353617	"up_in_cloneBdel7"	NA
"PARL"	"PARL"	1.07662571482722	1.42486395343238	0.348238238605155	584	248	151	94	0.258561643835616	0.379032258064516	0.000664002684384137	0.000636597447322745	0.00346619605594722	3.09451153061229e-05	0.000357211727250679	"NA"	NA
"RP11-611E13.2"	"RP11-611E13.2"	0.910766526067774	1.20106009513988	0.290293569072109	584	248	136	87	0.232876712328767	0.350806451612903	0.000609695670721053	0.000601688698171993	0.00367126923258327	3.09762369054725e-05	0.000357233963030501	"NA"	NA
"ZNF516"	"ZNF516"	0.337730174422172	0.120124064164458	-0.217606110257714	584	248	79	15	0.13527397260274	0.0604838709677419	0.00272332885373055	0.00170568349109358	0.00129641788800781	3.10064149540474e-05	0.000357245285666407	"NA"	NA
"GMEB1"	"GMEB1"	0.220037920152723	0.440908790368008	0.220870870215285	584	248	39	34	0.0667808219178082	0.137096774193548	0.00165954976726572	0.00185244869074894	0.00120004227486186	3.11592373583574e-05	0.000358668323910499	"NA"	NA
"TMEM50A"	"TMEM50A"	1.50829548365919	1.96316574222707	0.454870258567875	584	248	244	134	0.417808219178082	0.540322580645161	0.00152267654862421	0.00137273484073754	0.00162225262747136	3.12100764419876e-05	0.000358915879082857	"NA"	NA
"C12orf75"	"C12orf75"	0.461417342925605	0.710086098542337	0.248668755616732	584	248	78	56	0.133561643835616	0.225806451612903	0.00133718381505855	0.00133351748605846	0.00167516810801924	3.13004314184512e-05	0.000359616975433022	"NA"	NA
"ODF2L"	"ODF2L"	0.762028215061911	1.04240890822025	0.280380693158344	584	248	111	74	0.190068493150685	0.298387096774194	0.000820744288632504	0.000740742355877316	0.00302280061326275	3.13687433723991e-05	0.000360063737246413	"NA"	NA
"SH3RF1"	"SH3RF1"	0.768766154272092	1.09039529412029	0.321629139848202	584	248	120	78	0.205479452054795	0.314516129032258	0.00100458370364803	0.000967179885995657	0.00232218596243135	3.14579139160817e-05	0.000360748860990793	"NA"	NA
"CALCOCO2"	"CALCOCO2"	0.801615125740949	1.14040047350484	0.338785347763888	584	248	144	89	0.246575342465753	0.358870967741935	0.00130338549768673	0.00130564381736788	0.001724422197701	3.15295674183053e-05	0.000361232010234441	"NA"	NA
"PRCP"	"PRCP"	0.0641032244681837	0.229494820540358	0.165391596072174	584	248	16	19	0.0273972602739726	0.0766129032258065	0.00231971323713762	0.00214954873882268	0.00105047904851523	3.1615055143873e-05	0.000361872604995725	"NA"	NA
"PSMC5"	"PSMC5"	1.20231066969607	1.5343390422336	0.33202837253754	584	248	166	102	0.284246575342466	0.411290322580645	0.000454938926590222	0.000471297504675186	0.00482405950110941	3.18166643869352e-05	0.000363839911624803	"NA"	NA
"GCA"	"GCA"	0.301278850980871	0.495864014902847	0.194585163921976	584	248	56	44	0.0958904109589041	0.17741935483871	0.00141611787608964	0.00153058111329572	0.00148752805241115	3.18584401240285e-05	0.000363945503124019	"NA"	NA
"KCNAB1"	"KCNAB1"	0.110933794203242	0.0115671260829186	-0.0993666681203234	584	248	27	1	0.0462328767123288	0.00403225806451613	0.00401033490619941	0.00109340564581271	0.00208418194754549	3.18853856937683e-05	0.000363945503124019	"NA"	NA
"EXD2"	"EXD2"	0.0812783151104227	0.202928114409511	0.121649799299088	584	248	14	18	0.023972602739726	0.0725806451612903	0.00170202178861018	0.00239322808936411	0.000959234155267509	3.21037142386924e-05	0.000366096036742442	"NA"	NA
"BTN2A2"	"BTN2A2"	0.116921039014996	0.367538558249927	0.250617519234931	584	248	22	23	0.0376712328767123	0.092741935483871	0.0023284159657553	0.00224819401792912	0.00103822100026537	3.26027268974856e-05	0.000371440378321819	"NA"	NA
"MAD2L2"	"MAD2L2"	0.996098278999495	1.40178692366001	0.405688644660518	584	248	138	87	0.236301369863014	0.350806451612903	0.000913518279609069	0.000859563623959358	0.00273768628073358	3.28502485207474e-05	0.000373912224092898	"NA"	NA
"SOD2"	"SOD2"	2.06134390696859	2.58557930297808	0.52423539600949	584	248	310	163	0.530821917808219	0.657258064516129	0.000996177912724271	0.000761281542228546	0.00310302490757235	3.29676468388536e-05	0.000374899746022502	"up_in_cloneBdel7"	NA
"PDE6G"	"PDE6G"	1.57745571618576	1.96211817372853	0.384662457542769	584	248	208	123	0.356164383561644	0.495967741935484	0.000223232292896943	0.000197930437427371	0.0119616150657744	3.30362049509169e-05	0.000375330551327223	"NA"	NA
"ARHGAP25"	"ARHGAP25"	0.525592190679941	0.852574726738807	0.326982536058866	584	248	97	65	0.166095890410959	0.262096774193548	0.00191568381209264	0.00210654273312998	0.00114477271814099	3.36050469795245e-05	0.000381439104676681	"NA"	NA
"CBWD6"	"CBWD6"	1.26945034469471	1.69403053754939	0.424580192854687	584	248	247	134	0.422945205479452	0.540322580645161	0.0024272165229329	0.00231339921549648	0.00105009469076823	3.38349133540325e-05	0.000383692307506896	"NA"	NA
"SETD9"	"SETD9"	0.136089381018654	0.329017715706154	0.1929283346875	584	248	28	27	0.0479452054794521	0.108870967741935	0.00205136799361553	0.00203886090899242	0.00122676804466846	3.47636497269019e-05	0.000393859275979974	"NA"	NA
"UHRF2"	"UHRF2"	0.394522028464142	0.684099436184879	0.289577407720738	584	248	78	55	0.133561643835616	0.221774193548387	0.0021231625464302	0.00190253625461505	0.00132904411580842	3.51162193563821e-05	0.000397485716970112	"NA"	NA
"PSTPIP2"	"PSTPIP2"	0.237527540698771	0.432576064065172	0.195048523366402	584	248	48	39	0.0821917808219178	0.157258064516129	0.00185294586921974	0.00183611291299351	0.00140877366843219	3.58645078230887e-05	0.000405580515455928	"NA"	NA
"WDR70"	"WDR70"	0.291058412082971	0.474564745784149	0.183506333701179	584	248	58	45	0.0993150684931507	0.181451612903226	0.00149666022134264	0.00175003354469324	0.00151286384733615	3.66472187544215e-05	0.000414049278558728	"NA"	NA
"OLA1"	"OLA1"	0.353898904941631	0.560736605674188	0.206837700732557	584	248	60	46	0.102739726027397	0.185483870967742	0.001574567417333	0.00143105847766809	0.00186739782799257	3.69654916882293e-05	0.000417259922783371	"NA"	NA
"HSPB11"	"HSPB11"	0.717153368485632	1.10776237483861	0.390609006352976	584	248	128	80	0.219178082191781	0.32258064516129	0.00219027743389864	0.00214162530320705	0.00125713885773886	3.72216178070384e-05	0.000419763793075504	"NA"	NA
"IDH1"	"IDH1"	0.315923645635379	0.629721334759364	0.313797689123985	584	248	52	41	0.089041095890411	0.165322580645161	0.00211325663521465	0.00244375650318274	0.0011371192866196	3.83298995037219e-05	0.000431864318901972	"NA"	NA
"TROVE2"	"TROVE2"	1.80283662227471	2.07889052565648	0.276053903381772	584	248	274	152	0.469178082191781	0.612903225806452	0.000200926280402159	0.000150294779902053	0.0186135039810602	3.85686889806298e-05	0.000434154993897871	"NA"	NA
"GMPR2"	"GMPR2"	0.138225540423734	0.332663647075371	0.194438106651637	584	248	22	23	0.0376712328767123	0.092741935483871	0.0023284159657553	0.00224819401792912	0.00126929766254125	3.92856591390126e-05	0.000441819232743528	"NA"	NA
"CDC123"	"CDC123"	1.52566068159176	1.92064718050355	0.394986498911791	584	248	241	135	0.412671232876712	0.544354838709677	0.000638172248077739	0.000597728578919483	0.00478396925798641	3.93608212993493e-05	0.000442258043543469	"NA"	NA
"HIST3H2BB"	"HIST3H2BB"	0.134963949058411	0.234217291775333	0.099253342716922	584	248	31	29	0.0530821917808219	0.116935483870968	0.00186888788058743	0.00187946430975025	0.00153049988800182	3.9577834312768e-05	0.000444288422615623	"NA"	NA
"AP1S2"	"AP1S2"	0.502264598507475	0.809330988352076	0.3070663898446	584	248	89	61	0.152397260273973	0.245967741935484	0.0018530578728122	0.00214335363312846	0.00137539636466018	4.04884635551628e-05	0.000454094262200707	"NA"	NA
"OXCT1"	"OXCT1"	0.0486465456922546	0.219004594396597	0.170358048704343	584	248	12	16	0.0205479452054795	0.0645161290322581	0.00264129224501237	0.00255008963712635	0.00115780121034349	4.05462242230368e-05	0.000454325640653002	"NA"	NA
"C9orf78"	"C9orf78"	3.00674995333456	3.43516479469727	0.428414841362713	584	248	359	190	0.61472602739726	0.766129032258065	3.52675986529661e-05	2.12618471036155e-05	0.139171327651422	4.06295232571242e-05	0.000454842494578383	"NA"	NA
"PSMA7"	"PSMA7"	3.0343572859317	3.63214709127658	0.597789805344878	584	248	363	186	0.621575342465753	0.75	0.000471320582161692	0.000316547512245706	0.00943351329642483	4.09745994629651e-05	0.000458286287960549	"up_in_cloneBdel7"	NA
"PATZ1"	"PATZ1"	0.104855687931721	0.276049135853542	0.171193447921821	584	248	19	21	0.0325342465753425	0.0846774193548387	0.00237580209827739	0.00225177988827546	0.00133087817004023	4.11105674812507e-05	0.0004593871266672	"NA"	NA
"NAA10"	"NAA10"	0.347330499881129	0.543259144654244	0.195928644773116	584	248	71	52	0.121575342465753	0.209677419354839	0.00153397319585814	0.00184163594309616	0.0016383275889294	4.13694140527688e-05	0.000461857801413941	"NA"	NA
"AMN"	"AMN"	0.0245027995829864	0.0794349887261483	0.0549321891431618	584	248	8	13	0.0136986301369863	0.0524193548387097	0.00256645968668994	0.00254607810734672	0.00118970544885004	4.15203998117841e-05	0.000463120886141286	"NA"	NA
"OAZ1"	"OAZ1"	3.78676196749073	4.45931743140445	0.672555463913725	584	248	434	214	0.743150684931507	0.862903225806452	0.000202655668445918	0.000116264213953809	0.0261067120672564	4.15990940611106e-05	0.000463576060957877	"up_in_cloneBdel7"	NA
"CCNC"	"CCNC"	0.490027215445651	0.839847944316815	0.349820728871163	584	248	103	67	0.176369863013699	0.270161290322581	0.00292931032215579	0.00261893076761497	0.00117133246103078	4.20100914435839e-05	0.000467730190085253	"NA"	NA
"PPP1CB"	"PPP1CB"	2.17676905993922	1.55294894768527	-0.623820112253951	584	248	354	131	0.606164383561644	0.528225806451613	0.0445747717497253	0.0383035879103986	8.06108113056555e-05	4.2264485291866e-05	0.000470134765482974	"up_in_cloneA"	NA
"LINC00355"	"LINC00355"	0.11893648964249	0	-0.11893648964249	584	248	20	0	0.0342465753424658	0	0.00688085825885658	0.000966125103412554	0.00320546177050273	4.23811232118184e-05	0.00047100401781999	"NA"	NA
"SIRT2"	"SIRT2"	0.471098573706634	0.733955736499113	0.26285716279248	584	248	73	53	0.125	0.213709677419355	0.00158180545599515	0.00147712942563403	0.00210180675957289	4.24795947326728e-05	0.000471669982893815	"NA"	NA
"CISD2"	"CISD2"	0.727622012597345	0.97689456439912	0.249272551801774	584	248	120	78	0.205479452054795	0.314516129032258	0.00100458370364803	0.000967179885995657	0.00328658428808598	4.34182154950832e-05	0.000481654836625419	"NA"	NA
"DCUN1D5"	"DCUN1D5"	0.33396355238812	0.574729171130875	0.240765618742754	584	248	59	45	0.101027397260274	0.181451612903226	0.00197554199087976	0.00189262798157985	0.00168974220522218	4.36629212560079e-05	0.000483930710587421	"NA"	NA
"WDFY1"	"WDFY1"	0.140785198757009	0.344389371154382	0.203604172397372	584	248	30	28	0.0513698630136986	0.112903225806452	0.00237206521548269	0.002581464094884	0.00124980871576433	4.40206597759984e-05	0.000487454111329517	"NA"	NA
"MYH9"	"MYH9"	1.02021299672294	1.39533877789816	0.375125781175219	584	248	173	102	0.296232876712329	0.411290322580645	0.00165206032488012	0.0016436131771086	0.00197008463158153	4.41688374030697e-05	0.000488652707471936	"NA"	NA
"PLSCR1"	"PLSCR1"	1.43008798673057	1.7468239060221	0.316735919291526	584	248	220	127	0.376712328767123	0.512096774193548	0.000391425686624702	0.000395169153245273	0.00820946339048998	4.42455551785362e-05	0.00048871774185727	"NA"	NA
"TRIM38"	"TRIM38"	0.390704960697685	0.625711068445971	0.235006107748287	584	248	70	51	0.11986301369863	0.205645161290323	0.00191612114200256	0.00177856157781166	0.00182441935756687	4.42545977425511e-05	0.00048871774185727	"NA"	NA
"HSD17B10"	"HSD17B10"	0.733624124586562	1.07188275411048	0.338258629523918	584	248	97	66	0.166095890410959	0.266129032258065	0.00123868031405533	0.00114805507307249	0.00287245724421258	4.49227039160595e-05	0.000495648516787109	"NA"	NA
"PSKH1"	"PSKH1"	0.195440395932268	0.344717887701794	0.149277491769526	584	248	41	35	0.0702054794520548	0.141129032258065	0.00183032754621668	0.00224107674315067	0.00147333732541283	4.4974741753907e-05	0.000495775621712438	"NA"	NA
"IMPA2"	"IMPA2"	0.182377818205575	0.440549374499305	0.25817155629373	584	248	35	31	0.0599315068493151	0.125	0.00239352441047401	0.00289800503593314	0.00114885134502337	4.53218945069472e-05	0.000499152746342939	"NA"	NA
"CTSD"	"CTSD"	1.27470925157176	1.53680733915073	0.262098087578967	584	248	223	129	0.381849315068493	0.520161290322581	0.000298043124191295	0.000302106641185755	0.0110609668638355	4.54759310705944e-05	0.000500398824262403	"NA"	NA
"PEPD"	"PEPD"	0.782183921775172	1.06168652767235	0.279502605897179	584	248	122	79	0.208904109589041	0.318548387096774	0.000998032773750958	0.00101786328331782	0.00333551962347785	4.61502336143035e-05	0.000507362316715739	"NA"	NA
"SLC50A1"	"SLC50A1"	1.30229490857446	1.70486748548704	0.402572576912578	584	248	188	111	0.321917808219178	0.44758064516129	0.000734291125396372	0.000672379274684907	0.00511448031986518	4.670112597195e-05	0.000512957789401059	"NA"	NA
"MED28"	"MED28"	0.648682844912562	0.925968314243169	0.277285469330607	584	248	104	69	0.178082191780822	0.278225806451613	0.00156489408787208	0.00146865020189997	0.0023565689779184	4.69791433134385e-05	0.000515548697384066	"NA"	NA
"FAM20B"	"FAM20B"	0.133100018824389	0.287511064968948	0.154411046144559	584	248	22	23	0.0376712328767123	0.092741935483871	0.0023284159657553	0.00224819401792912	0.00155995812191238	4.75586606510304e-05	0.000521440655668466	"NA"	NA
"TYW3"	"TYW3"	0.224708766901404	0.397196982721456	0.172488215820052	584	248	36	32	0.0616438356164384	0.129032258064516	0.00188905672211015	0.00209237424905451	0.00169127637688602	4.79566252628314e-05	0.000525333273693827	"NA"	NA
"SPINK2"	"SPINK2"	3.34166411850773	4.10777510864547	0.766110990137737	584	248	384	189	0.657534246575342	0.762096774193548	0.00375969465051661	0.00316225738488651	0.00115387578070829	4.93364879492001e-05	0.000539965354692677	"up_in_cloneBdel7"	NA
"ZNF345"	"ZNF345"	0.0676378889843237	0.175769417064253	0.10813152807993	584	248	12	16	0.0205479452054795	0.0645161290322581	0.00264129224501237	0.00255008963712635	0.00143509695948215	4.94713703097691e-05	0.00054095771859726	"NA"	NA
"TIA1"	"TIA1"	0.440820470344265	0.724154524949909	0.283334054605644	584	248	82	57	0.14041095890411	0.229838709677419	0.00220334201884093	0.00221741069117424	0.00168167196473361	5.0338619880469e-05	0.000549949422194124	"NA"	NA
"RC3H2"	"RC3H2"	1.14007345286837	1.47899538802799	0.33892193515962	584	248	196	114	0.335616438356164	0.459677419354839	0.000942862404801748	0.000970764094126435	0.00388981576440251	5.09274951191512e-05	0.000555886556893786	"NA"	NA
"HIST1H2BK"	"HIST1H2BK"	0.605039923207886	0.98730315047783	0.382263227269944	584	248	98	65	0.167808219178082	0.262096774193548	0.00237476118685163	0.0022084389332544	0.00171373496034267	5.1034691349377e-05	0.000556560145589106	"NA"	NA
"C12orf23"	"C12orf23"	0.184049804628586	0.361019475589592	0.176969670961006	584	248	38	33	0.0650684931506849	0.133064516129032	0.00210170104918794	0.00255924434412112	0.00149335421964215	5.14986765448423e-05	0.0005611200411422	"NA"	NA
"RP11-119F19.2"	"RP11-119F19.2"	0.0657430755041451	0.148046110204844	0.0823030347006988	584	248	12	16	0.0205479452054795	0.0645161290322581	0.00264129224501237	0.00255008963712635	0.00151208046983175	5.19236952081079e-05	0.000565247628617801	"NA"	NA
"IFT57"	"IFT57"	0.576502487776142	0.791376680305586	0.214874192529445	584	248	93	64	0.159246575342466	0.258064516129032	0.00121505678943368	0.00132577965643754	0.00291615776398228	5.20513560966576e-05	0.000566133682843291	"NA"	NA
"RP11-89K11.1"	"RP11-89K11.1"	0.0995676653837575	0.186112344333406	0.0865446789496489	584	248	19	21	0.0325342465753425	0.0846774193548387	0.00237580209827739	0.00225177988827546	0.00173227399461541	5.24813975173121e-05	0.000569841422397706	"NA"	NA
"KLRG1"	"KLRG1"	0.312506344440641	0.553890102994687	0.241383758554046	584	248	54	42	0.0924657534246575	0.169354838709677	0.00223804713843503	0.00200455800942589	0.00194773110162737	5.25267326331083e-05	0.000569841422397706	"NA"	NA
"ORC4"	"ORC4"	0.389866590262343	0.620337949858483	0.23047135959614	584	248	74	53	0.126712328767123	0.213709677419355	0.00202738205949715	0.00213418186823507	0.00183065566926006	5.25592620442353e-05	0.000569841422397706	"NA"	NA
"EXOSC3"	"EXOSC3"	0.153146886408678	0.286197908162577	0.133051021753899	584	248	38	33	0.0650684931506849	0.133064516129032	0.00210170104918794	0.00255924434412112	0.00152720858114367	5.25785359502297e-05	0.000569841422397706	"NA"	NA
"PTAR1"	"PTAR1"	0.697682155311722	0.974092358554302	0.27641020324258	584	248	117	76	0.200342465753425	0.306451612903226	0.00125093385803757	0.00119914959446231	0.00326776059893165	5.27034684548416e-05	0.000570689946914551	"NA"	NA
"RALGPS2"	"RALGPS2"	0.0254154459759696	0.15150304615893	0.12608760018296	584	248	6	11	0.0102739726027397	0.0443548387096774	0.00360874451866295	0.00278079488275041	0.00141775705074814	5.30016644521103e-05	0.000573411464399665	"NA"	NA
"STK3"	"STK3"	0.122623497045359	0.300732866744962	0.178109369699603	584	248	27	26	0.0462328767123288	0.104838709677419	0.00260429680963077	0.00280460532643926	0.00144178106617431	5.4258875381786e-05	0.00058620240416183	"NA"	NA
"SERINC3"	"SERINC3"	0.458008928820331	0.692205463296123	0.234196534475792	584	248	87	60	0.148972602739726	0.241935483870968	0.00183001601618952	0.00197555341678838	0.00204892052449636	5.43101001059627e-05	0.00058620240416183	"NA"	NA
