gene_short_name	direction
PTCHD4	No overlap: Fischer unique
PTEN	No overlap: Fischer unique
RCHY1	No overlap: Fischer unique
SEMA3F	No overlap: Fischer unique
SGK1	No overlap: Fischer unique
SYK	No overlap: Fischer unique
TLR6	No overlap: Fischer unique
TSC2	No overlap: Fischer unique
EGFR	No overlap: Fischer unique
TFAP2A	No overlap: Fischer unique
TFAP2C	No overlap: Fischer unique
AGT	No overlap: Fischer unique
AGTR1	No overlap: Fischer unique
AIFM1	No overlap: Fischer unique
APOB	No overlap: Fischer unique
APOBEC1	No overlap: Fischer unique
BAK1	No overlap: Fischer unique
BCL2L14	No overlap: Fischer unique
BDKRB2	No overlap: Fischer unique
BNIP3L	No overlap: Fischer unique
CASP1	No overlap: Fischer unique
CASP10	No overlap: Fischer unique
CHMP4C	No overlap: Fischer unique
CKM	No overlap: Fischer unique
COL18A1	No overlap: Fischer unique
COMT	No overlap: Fischer unique
CPT1C	No overlap: Fischer unique
CST3	No overlap: Fischer unique
CTF1	No overlap: Fischer unique
CTSD	No overlap: Fischer unique
CX3CL1	No overlap: Fischer unique
DEC1	No overlap: Fischer unique
DUSP4	No overlap: Fischer unique
DUSP6	No overlap: Fischer unique
EGR2	No overlap: Fischer unique
ERCC1	No overlap: Fischer unique
ESR1	No overlap: Fischer unique
FDFT1	No overlap: Fischer unique
FLT1	No overlap: Fischer unique
FOXF1	No overlap: Fischer unique
FOXP3	No overlap: Fischer unique
GAD2	No overlap: Fischer unique
GSTP1	No overlap: Fischer unique
HAMP	No overlap: Fischer unique
HDC	No overlap: Fischer unique
HIC1	No overlap: Fischer unique
HMGCR	No overlap: Fischer unique
IGFBP3	No overlap: Fischer unique
KLLN	No overlap: Fischer unique
MB	No overlap: Fischer unique
MFN2	No overlap: Fischer unique
MVK	No overlap: Fischer unique
NDRG1	No overlap: Fischer unique
NLRC4	No overlap: Fischer unique
NR0B2	No overlap: Fischer unique
NSG1	No overlap: Fischer unique
OGN	No overlap: Fischer unique
ORM2	No overlap: Fischer unique
PARK2	No overlap: Fischer unique
PAX2	No overlap: Fischer unique
PCDH10	No overlap: Fischer unique
PEBP1	No overlap: Fischer unique
PHF1	No overlap: Fischer unique
POMC	No overlap: Fischer unique
RAB6C	No overlap: Fischer unique
RP11-330H6.5	No overlap: Fischer unique
S100A9	No overlap: Fischer unique
SERPINA6	No overlap: Fischer unique
SH2D1A	No overlap: Fischer unique
SHBG	No overlap: Fischer unique
SIVA1	No overlap: Fischer unique
STAG1	No overlap: Fischer unique
TGM2	No overlap: Fischer unique
TLR10	No overlap: Fischer unique
TLR2	No overlap: Fischer unique
TLR4	No overlap: Fischer unique
TLR5	No overlap: Fischer unique
TLR8	No overlap: Fischer unique
TNFSF9	No overlap: Fischer unique
TP53AIP1	No overlap: Fischer unique
TYRP1	No overlap: Fischer unique
UBTD1	No overlap: Fischer unique
UNC5A	No overlap: Fischer unique
ZFP36	No overlap: Fischer unique
MLH1	No overlap: Fischer unique
HMGCLL1	No overlap: Fischer unique
IFI16	No overlap: Fischer unique
MPZL2	No overlap: Fischer unique
TP63	No overlap: Fischer unique
ULK2	No overlap: Fischer unique
FANCC	No overlap: Fischer unique
MAD1L1	No overlap: Fischer unique
CD44	No overlap: Fischer unique
F2R	No overlap: Fischer unique
RARA	No overlap: Fischer unique
BNIP3	No overlap: Fischer unique
ID2	No overlap: Fischer unique
IGF1R	No overlap: Fischer unique
AFP	No overlap: Fischer unique
APEX1	No overlap: Fischer unique
AR	No overlap: Fischer unique
ATR	No overlap: Fischer unique
BCL2	No overlap: Fischer unique
BIRC5	No overlap: Fischer unique
BRCA2	No overlap: Fischer unique
CBL	No overlap: Fischer unique
CCNB2	No overlap: Fischer unique
CDC20	No overlap: Fischer unique
CDKN2A	No overlap: Fischer unique
CHEK1	No overlap: Fischer unique
CKS2	No overlap: Fischer unique
CRYZ	No overlap: Fischer unique
DEF6	No overlap: Fischer unique
DUT	No overlap: Fischer unique
ECT2	No overlap: Fischer unique
EPCAM	No overlap: Fischer unique
FZD2	No overlap: Fischer unique
GBP1	No overlap: Fischer unique
GFI1	No overlap: Fischer unique
HNF4A	No overlap: Fischer unique
HPSE	No overlap: Fischer unique
HSP90AB1	No overlap: Fischer unique
KRT14	No overlap: Fischer unique
LARP1	No overlap: Fischer unique
LASP1	No overlap: Fischer unique
LGALS3	No overlap: Fischer unique
ME2	No overlap: Fischer unique
MTA1	No overlap: Fischer unique
MYC	No overlap: Fischer unique
MYOG	No overlap: Fischer unique
NANOG	No overlap: Fischer unique
NEK2	No overlap: Fischer unique
NOL3	No overlap: Fischer unique
NOS3	No overlap: Fischer unique
PIK3CA	No overlap: Fischer unique
PKD1	No overlap: Fischer unique
POLD1	No overlap: Fischer unique
PPARGC1A	No overlap: Fischer unique
PPARGC1B	No overlap: Fischer unique
PRC1	No overlap: Fischer unique
PTPN6	No overlap: Fischer unique
PTTG1	No overlap: Fischer unique
RAD17	No overlap: Fischer unique
RAD51	No overlap: Fischer unique
RECQL4	No overlap: Fischer unique
RFC4	No overlap: Fischer unique
SALL2	No overlap: Fischer unique
SCD	No overlap: Fischer unique
SLC2A4	No overlap: Fischer unique
SLC38A2	No overlap: Fischer unique
TDG	No overlap: Fischer unique
TFF2	No overlap: Fischer unique
TP53BP1	No overlap: Fischer unique
TPT1	No overlap: Fischer unique
TRPC7	No overlap: Fischer unique
UBD	No overlap: Fischer unique
UTF1	No overlap: Fischer unique
XPO1	No overlap: Fischer unique
YWHAG	No overlap: Fischer unique
CDC25B	No overlap: Fischer unique
DSP	No overlap: Fischer unique
MAP4	No overlap: Fischer unique
MAPK8	No overlap: Fischer unique
ME1	No overlap: Fischer unique
PSRC1	No overlap: Fischer unique
RAD23A	No overlap: Fischer unique
RBPJ	No overlap: Fischer unique
RTN4	No overlap: Fischer unique
SLC6A6	No overlap: Fischer unique
ANLN	No overlap: Fischer unique
CCNB1	No overlap: Fischer unique
MSH2	No overlap: Fischer unique
PLK1	No overlap: Fischer unique
SLC7A11	No overlap: Fischer unique
PTK2	No overlap: Fischer unique
CDK1	No overlap: Fischer unique
RSPO1	No overlap: HSPC MUT unique
C1orf228	No overlap: HSPC MUT unique
SELL	No overlap: HSPC MUT unique
MIR181A1HG	No overlap: HSPC MUT unique
PSME4	No overlap: HSPC MUT unique
PELI1	No overlap: HSPC MUT unique
PDK1	No overlap: HSPC MUT unique
IL1RAP	No overlap: HSPC MUT unique
TFRC	No overlap: HSPC MUT unique
CRHBP	No overlap: HSPC MUT unique
ARRDC3	No overlap: HSPC MUT unique
CD74	No overlap: HSPC MUT unique
RHAG	No overlap: HSPC MUT unique
GPR126	No overlap: HSPC MUT unique
GNG11	No overlap: HSPC MUT unique
AASS	No overlap: HSPC MUT unique
TIMP1	No overlap: HSPC MUT unique
ITM2A	No overlap: HSPC MUT unique
BEX1	No overlap: HSPC MUT unique
BEX2	No overlap: HSPC MUT unique
FHL1	No overlap: HSPC MUT unique
CLU	No overlap: HSPC MUT unique
MTSS1	No overlap: HSPC MUT unique
DENND3	No overlap: HSPC MUT unique
PLIN2	No overlap: HSPC MUT unique
TMEM246	No overlap: HSPC MUT unique
MAP3K8	No overlap: HSPC MUT unique
MDK	No overlap: HSPC MUT unique
LAG3	No overlap: HSPC MUT unique
SLC2A3	No overlap: HSPC MUT unique
ETV6	No overlap: HSPC MUT unique
SLC38A1	No overlap: HSPC MUT unique
NFE2	No overlap: HSPC MUT unique
PCDH9	No overlap: HSPC MUT unique
ATF7IP2	No overlap: HSPC MUT unique
MYL4	No overlap: HSPC MUT unique
FAM117A	No overlap: HSPC MUT unique
RP11-264B14.1	No overlap: HSPC MUT unique
AVP	No overlap: HSPC MUT unique
ZFAS1	No overlap: HSPC MUT unique
HCST	No overlap: HSPC MUT unique
LGALS1	No overlap: HSPC MUT unique
TMEM156	No overlap: HSPC MUT unique
FAM129A	No overlap: HSPC MUT unique
CD36	No overlap: HSPC MUT unique
CTSF	No overlap: HSPC MUT unique
APOE	No overlap: HSPC MUT unique
ZBTB43	No overlap: HSPC MUT unique
TSPAN2	No overlap: HSPC MUT unique
COTL1	No overlap: HSPC MUT unique
PTMS	No overlap: HSPC MUT unique
ANXA6	No overlap: HSPC MUT unique
MUM1	No overlap: HSPC MUT unique
JUN	No overlap: HSPC MUT unique
CA1	No overlap: HSPC MUT unique
NECAP1	No overlap: HSPC MUT unique
CCNL1	No overlap: HSPC MUT unique
CHKB	No overlap: HSPC MUT unique
YBX1	No overlap: HSPC MUT unique
ZNF292	No overlap: HSPC MUT unique
DDX39A	No overlap: HSPC MUT unique
DLK1	No overlap: HSPC MUT unique
RP11-468E2.4	No overlap: HSPC MUT unique
NPM1	No overlap: HSPC MUT unique
FAM127A	No overlap: HSPC MUT unique
TESC	No overlap: HSPC MUT unique
POLR2B	No overlap: HSPC MUT unique
TUBB6	No overlap: HSPC MUT unique
SFPQ	No overlap: HSPC MUT unique
ZC3H15	No overlap: HSPC MUT unique
IFITM1	No overlap: HSPC MUT unique
LUZP1	No overlap: HSPC MUT unique
HEMGN	No overlap: HSPC MUT unique
ANK1	No overlap: HSPC MUT unique
PPP1R14A	No overlap: HSPC MUT unique
IREB2	No overlap: HSPC MUT unique
ARPC5L	No overlap: HSPC MUT unique
IFIT3	No overlap: HSPC MUT unique
ADNP2	No overlap: HSPC MUT unique
SLC25A37	No overlap: HSPC MUT unique
LMO2	No overlap: HSPC MUT unique
LY6E	No overlap: HSPC MUT unique
MIR4435-1HG	No overlap: HSPC MUT unique
ZKSCAN1	No overlap: HSPC MUT unique
MTDH	No overlap: HSPC MUT unique
ZFP36L2	No overlap: HSPC MUT unique
PTPRE	No overlap: HSPC MUT unique
RCC2	No overlap: HSPC MUT unique
TIMM23	No overlap: HSPC MUT unique
PBXIP1	No overlap: HSPC MUT unique
PDLIM1	No overlap: HSPC MUT unique
PLXDC2	No overlap: HSPC MUT unique
EEF2	No overlap: HSPC MUT unique
EHD2	No overlap: HSPC MUT unique
SRSF10	No overlap: HSPC MUT unique
GUCY1A3	No overlap: HSPC MUT unique
GLUL	No overlap: HSPC MUT unique
RPL26	No overlap: HSPC MUT unique
CD97	No overlap: HSPC MUT unique
AJ006998.2	No overlap: HSPC MUT unique
IL8	No overlap: HSPC MUT unique
FAM46A	No overlap: HSPC MUT unique
WDR26	No overlap: HSPC MUT unique
CCDC12	No overlap: HSPC MUT unique
MEIS1	No overlap: HSPC MUT unique
GTPBP4	No overlap: HSPC MUT unique
TRIB2	No overlap: HSPC MUT unique
MAT2B	No overlap: HSPC MUT unique
FAM127B	No overlap: HSPC MUT unique
ILF3	No overlap: HSPC MUT unique
IQGAP1	No overlap: HSPC MUT unique
LAPTM4B	No overlap: HSPC MUT unique
MGAT4A	No overlap: HSPC MUT unique
MYO1F	No overlap: HSPC MUT unique
SERPINB6	No overlap: HSPC MUT unique
RP11-1275H24.3	No overlap: HSPC MUT unique
TPM4	No overlap: HSPC MUT unique
RANBP2	No overlap: HSPC MUT unique
RP11-367G6.3	No overlap: HSPC MUT unique
GAS5-AS1	No overlap: HSPC MUT unique
ZSCAN18	No overlap: HSPC MUT unique
RAB27B	No overlap: HSPC MUT unique
GPR56	No overlap: HSPC MUT unique
AHSA2	No overlap: HSPC MUT unique
MT-ND6	No overlap: HSPC MUT unique
NCF4	No overlap: HSPC MUT unique
ROBO3	No overlap: HSPC MUT unique
HNRNPM	No overlap: HSPC MUT unique
RGS1	No overlap: HSPC MUT unique
UBR4	No overlap: HSPC MUT unique
LCOR	No overlap: HSPC MUT unique
RP11-598F7.3	No overlap: HSPC MUT unique
APOC1	No overlap: HSPC MUT unique
CDKN2D	No overlap: HSPC MUT unique
PTP4A2	No overlap: HSPC MUT unique
SOCS2	No overlap: HSPC MUT unique
RTF1	No overlap: HSPC MUT unique
PRPF40A	No overlap: HSPC MUT unique
STAT1	No overlap: HSPC MUT unique
MLLT4	No overlap: HSPC MUT unique
ZNF326	No overlap: HSPC MUT unique
IQGAP2	No overlap: HSPC MUT unique
SSBP2	No overlap: HSPC MUT unique
NLRC5	No overlap: HSPC MUT unique
RRP12	No overlap: HSPC MUT unique
HMGXB4	No overlap: HSPC MUT unique
CEP170	No overlap: HSPC MUT unique
SIL1	No overlap: HSPC MUT unique
STMN3	No overlap: HSPC MUT unique
C14orf39	No overlap: HSPC MUT unique
CTDSPL	No overlap: HSPC MUT unique
WDR43	No overlap: HSPC MUT unique
RGS2	No overlap: HSPC MUT unique
MEX3C	No overlap: HSPC MUT unique
EREG	No overlap: HSPC MUT unique
CKB	No overlap: HSPC MUT unique
IFI6	No overlap: HSPC MUT unique
PHYKPL	No overlap: HSPC MUT unique
ZNRF1	No overlap: HSPC MUT unique
TIPARP	No overlap: HSPC MUT unique
MBOAT2	No overlap: HSPC MUT unique
EIF5B	No overlap: HSPC MUT unique
HLA-DPB1	No overlap: HSPC MUT unique
LST1	No overlap: HSPC MUT unique
EGR1	No overlap: HSPC MUT unique
YTHDC1	No overlap: HSPC MUT unique
PPM1A	No overlap: HSPC MUT unique
YWHAE	No overlap: HSPC MUT unique
DDX21	No overlap: HSPC MUT unique
MXD1	No overlap: HSPC MUT unique
TACC1	No overlap: HSPC MUT unique
GSTM2	No overlap: HSPC MUT unique
NACA2	No overlap: HSPC MUT unique
CD47	No overlap: HSPC MUT unique
EFHD2	No overlap: HSPC MUT unique
REL	No overlap: HSPC MUT unique
PHIP	No overlap: HSPC MUT unique
LINC00152	No overlap: HSPC MUT unique
TMEM173	No overlap: HSPC MUT unique
BCLAF1	No overlap: HSPC MUT unique
SRSF11	No overlap: HSPC MUT unique
TNRC18	No overlap: HSPC MUT unique
SLC35E1	No overlap: HSPC MUT unique
C7orf55	No overlap: HSPC MUT unique
RBBP6	No overlap: HSPC MUT unique
HLA-DRB5	No overlap: HSPC MUT unique
TRAPPC10	No overlap: HSPC MUT unique
TRAPPC1	No overlap: HSPC MUT unique
SNRPA1	No overlap: HSPC MUT unique
ATP6V0E1	No overlap: HSPC MUT unique
ITGB2	No overlap: HSPC MUT unique
PYCR2	No overlap: HSPC MUT unique
FCER1G	No overlap: HSPC MUT unique
CSF2RB	No overlap: HSPC MUT unique
H1FX	No overlap: HSPC MUT unique
IFI44	No overlap: HSPC MUT unique
CWC25	No overlap: HSPC MUT unique
USP16	No overlap: HSPC MUT unique
STK17B	No overlap: HSPC MUT unique
RELB	No overlap: HSPC MUT unique
NBEAL2	No overlap: HSPC MUT unique
AHCTF1	No overlap: HSPC MUT unique
RABGAP1	No overlap: HSPC MUT unique
USP11	No overlap: HSPC MUT unique
EPC1	No overlap: HSPC MUT unique
ITGB1	No overlap: HSPC MUT unique
MYCT1	No overlap: HSPC MUT unique
SAT2	No overlap: HSPC MUT unique
C1orf63	No overlap: HSPC MUT unique
RAB1A	No overlap: HSPC MUT unique
SSFA2	No overlap: HSPC MUT unique
POMP	No overlap: HSPC MUT unique
SYPL1	No overlap: HSPC MUT unique
TCEB1	No overlap: HSPC MUT unique
C12orf65	No overlap: HSPC MUT unique
ERGIC1	No overlap: HSPC MUT unique
HBB	No overlap: HSPC MUT unique
TNFSF13B	No overlap: HSPC MUT unique
FTH1	No overlap: HSPC MUT unique
ANXA2	No overlap: HSPC MUT unique
TPTEP1	No overlap: HSPC MUT unique
RB1CC1	No overlap: HSPC MUT unique
PPIF	No overlap: HSPC MUT unique
C5orf15	No overlap: HSPC MUT unique
S1PR4	No overlap: HSPC MUT unique
CNRIP1	No overlap: HSPC MUT unique
PHACTR2	No overlap: HSPC MUT unique
EIF2S3	No overlap: HSPC MUT unique
CYB5B	No overlap: HSPC MUT unique
C6orf48	No overlap: HSPC MUT unique
UBE2J1	No overlap: HSPC MUT unique
USP3	No overlap: HSPC MUT unique
BAZ1A	No overlap: HSPC MUT unique
CIR1	No overlap: HSPC MUT unique
DDX6	No overlap: HSPC MUT unique
DYRK1A	No overlap: HSPC MUT unique
MTRNR2L12	No overlap: HSPC MUT unique
HBD	No overlap: HSPC MUT unique
RAB5B	No overlap: HSPC MUT unique
PSMD12	No overlap: HSPC MUT unique
ABCF1	No overlap: HSPC MUT unique
TMEM11	No overlap: HSPC MUT unique
LAIR1	No overlap: HSPC MUT unique
GSTK1	No overlap: HSPC MUT unique
RBM25	No overlap: HSPC MUT unique
HSPB1	No overlap: HSPC MUT unique
TMCO3	No overlap: HSPC MUT unique
ATF4	No overlap: HSPC MUT unique
GATA2	No overlap: HSPC MUT unique
IDI1	No overlap: HSPC MUT unique
ING4	No overlap: HSPC MUT unique
DPPA4	No overlap: HSPC MUT unique
DHX15	No overlap: HSPC MUT unique
GAPT	No overlap: HSPC MUT unique
SRSF4	No overlap: HSPC MUT unique
TNFAIP3	No overlap: HSPC MUT unique
SRSF6	No overlap: HSPC MUT unique
ISG15	No overlap: HSPC MUT unique
KIF5B	No overlap: HSPC MUT unique
MBOAT7	No overlap: HSPC MUT unique
LSM4	No overlap: HSPC MUT unique
RAD23B	No overlap: HSPC MUT unique
STXBP5	No overlap: HSPC MUT unique
C5orf56	No overlap: HSPC MUT unique
HIAT1	No overlap: HSPC MUT unique
INF2	No overlap: HSPC MUT unique
ERCC-00046	No overlap: HSPC MUT unique
DSE	No overlap: HSPC MUT unique
GUCY1B3	No overlap: HSPC MUT unique
GABARAPL2	No overlap: HSPC MUT unique
UBE2Q2	No overlap: HSPC MUT unique
ATP11B	No overlap: HSPC MUT unique
EDARADD	No overlap: HSPC MUT unique
MLLT3	No overlap: HSPC MUT unique
GADD45G	No overlap: HSPC MUT unique
SH2B3	No overlap: HSPC MUT unique
CDK11A	No overlap: HSPC MUT unique
RIOK3	No overlap: HSPC MUT unique
THUMPD2	No overlap: HSPC MUT unique
YARS	No overlap: HSPC MUT unique
CCDC59	No overlap: HSPC MUT unique
NBEAL1	No overlap: HSPC MUT unique
ZNF281	No overlap: HSPC MUT unique
LSP1	No overlap: HSPC MUT unique
NEMF	No overlap: HSPC MUT unique
CALM3	No overlap: HSPC MUT unique
CD320	No overlap: HSPC MUT unique
UQCRQ	No overlap: HSPC MUT unique
CTD-2020K17.1	No overlap: HSPC MUT unique
HELZ	No overlap: HSPC MUT unique
SYAP1	No overlap: HSPC MUT unique
BRD8	No overlap: HSPC MUT unique
RAB3D	No overlap: HSPC MUT unique
DCTN6	No overlap: HSPC MUT unique
XPO4	No overlap: HSPC MUT unique
FAM91A1	No overlap: HSPC MUT unique
RNMT	No overlap: HSPC MUT unique
NUP54	No overlap: HSPC MUT unique
M6PR	No overlap: HSPC MUT unique
SDE2	No overlap: HSPC MUT unique
COA3	No overlap: HSPC MUT unique
TMEM107	No overlap: HSPC MUT unique
TPP2	No overlap: HSPC MUT unique
EMR2	No overlap: HSPC MUT unique
MED13L	No overlap: HSPC MUT unique
C7orf50	No overlap: HSPC MUT unique
UCP2	No overlap: HSPC MUT unique
TWISTNB	No overlap: HSPC MUT unique
HIST2H2AA4	No overlap: HSPC MUT unique
FBRS	No overlap: HSPC MUT unique
DESI2	No overlap: HSPC MUT unique
GAPDH	No overlap: HSPC MUT unique
SOCS3	No overlap: HSPC MUT unique
ETS2	No overlap: HSPC MUT unique
C1orf21	No overlap: HSPC MUT unique
PSMG1	No overlap: HSPC MUT unique
NDUFB9	No overlap: HSPC MUT unique
ITGA2B	No overlap: HSPC MUT unique
RIPK2	No overlap: HSPC MUT unique
JUNB	No overlap: HSPC MUT unique
ZNF714	No overlap: HSPC MUT unique
U2SURP	No overlap: HSPC MUT unique
LYL1	No overlap: HSPC MUT unique
SLC2A1	No overlap: HSPC MUT unique
BSPRY	No overlap: HSPC MUT unique
IFI44L	No overlap: HSPC MUT unique
MCTP2	No overlap: HSPC MUT unique
