gene_short_name	direction
TMEM50A	No overlap: HSPC MUT unique
CCNT2	No overlap: HSPC MUT unique
CDK11B	No overlap: HSPC MUT unique
HLA-DQA1	No overlap: HSPC MUT unique
BST2	No overlap: HSPC MUT unique
RHBDD2	No overlap: HSPC MUT unique
PDLIM5	No overlap: HSPC MUT unique
CPNE1	No overlap: HSPC MUT unique
PNP	No overlap: HSPC MUT unique
PSMC1	No overlap: HSPC MUT unique
SH3GLB1	No overlap: HSPC MUT unique
GFI1B	No overlap: HSPC MUT unique
ACTR2	No overlap: HSPC MUT unique
ASXL1	No overlap: HSPC MUT unique
YTHDF3	No overlap: HSPC MUT unique
AC002454.1	No overlap: HSPC MUT unique
FAM160B1	No overlap: HSPC MUT unique
ERI1	No overlap: HSPC MUT unique
RBM17	No overlap: HSPC MUT unique
SEC61B	No overlap: HSPC MUT unique
PPDPF	No overlap: HSPC MUT unique
CENPU	No overlap: HSPC MUT unique
YME1L1	No overlap: HSPC MUT unique
MKNK1	No overlap: HSPC MUT unique
GLRX5	No overlap: HSPC MUT unique
SUPT6H	No overlap: HSPC MUT unique
KIDINS220	No overlap: HSPC MUT unique
CDC42	No overlap: HSPC MUT unique
SH3RF1	No overlap: HSPC MUT unique
ELMO1	No overlap: HSPC MUT unique
CTNNA1	No overlap: HSPC MUT unique
PPTC7	No overlap: HSPC MUT unique
KPNA2	No overlap: HSPC MUT unique
HIF1A	No overlap: HSPC MUT unique
CTSW	No overlap: HSPC MUT unique
CSTF3	No overlap: HSPC MUT unique
NCBP2-AS2	No overlap: HSPC MUT unique
ABTB1	No overlap: HSPC MUT unique
RP5-827C21.2	No overlap: HSPC MUT unique
MAGED2	No overlap: HSPC MUT unique
LMBRD1	No overlap: HSPC MUT unique
HMBS	No overlap: HSPC MUT unique
ZNF451	No overlap: HSPC MUT unique
NBPF14	No overlap: HSPC MUT unique
CCND2	No overlap: HSPC MUT unique
KLF13	No overlap: HSPC MUT unique
RAB5A	No overlap: HSPC MUT unique
EGFL7	No overlap: HSPC MUT unique
LYPLA1	No overlap: HSPC MUT unique
USP9X	No overlap: HSPC MUT unique
NAPG	No overlap: HSPC MUT unique
NR4A2	No overlap: HSPC MUT unique
NBAS	No overlap: HSPC MUT unique
ATP8B4	No overlap: HSPC MUT unique
COPS2	No overlap: HSPC MUT unique
HECTD1	No overlap: HSPC MUT unique
CCM2	No overlap: HSPC MUT unique
AMT	No overlap: HSPC MUT unique
EML4	No overlap: HSPC MUT unique
FAM133B	No overlap: HSPC MUT unique
MOB1B	No overlap: HSPC MUT unique
SMARCA4	No overlap: HSPC MUT unique
MPC2	No overlap: HSPC MUT unique
OGFRL1	No overlap: HSPC MUT unique
PDCD5	No overlap: HSPC MUT unique
UQCRH	No overlap: HSPC MUT unique
ST8SIA6	No overlap: HSPC MUT unique
BTN3A2	No overlap: HSPC MUT unique
YY1	No overlap: HSPC MUT unique
RABGGTB	No overlap: HSPC MUT unique
EIF1B	No overlap: HSPC MUT unique
RLIM	No overlap: HSPC MUT unique
BOLA3	No overlap: HSPC MUT unique
PSMG2	No overlap: HSPC MUT unique
BIRC6	No overlap: HSPC MUT unique
IKBKB	No overlap: HSPC MUT unique
WAC	No overlap: HSPC MUT unique
FNIP1	No overlap: HSPC MUT unique
ACTN1	No overlap: HSPC MUT unique
RIF1	No overlap: HSPC MUT unique
MLTK	No overlap: HSPC MUT unique
VAMP5	No overlap: HSPC MUT unique
NUPL1	No overlap: HSPC MUT unique
GTF3C6	No overlap: HSPC MUT unique
GOLGA8A	No overlap: HSPC MUT unique
TTI2	No overlap: HSPC MUT unique
KDM5A	No overlap: HSPC MUT unique
WSB1	No overlap: HSPC MUT unique
ERG	No overlap: HSPC MUT unique
TFR2	No overlap: HSPC MUT unique
TOMM5	No overlap: HSPC MUT unique
CLDN15	No overlap: HSPC MUT unique
GTF2B	No overlap: HSPC MUT unique
RSBN1L	No overlap: HSPC MUT unique
CNOT2	No overlap: HSPC MUT unique
SURF4	No overlap: HSPC MUT unique
HSPA14	No overlap: HSPC MUT unique
SF3B14	No overlap: HSPC MUT unique
FLI1	No overlap: HSPC MUT unique
KBTBD2	No overlap: HSPC MUT unique
DDAH2	No overlap: HSPC MUT unique
RBM22	No overlap: HSPC MUT unique
PTPN7	No overlap: HSPC MUT unique
SAMSN1	No overlap: HSPC MUT unique
MYO9B	No overlap: HSPC MUT unique
AKIRIN1	No overlap: HSPC MUT unique
SNX9	No overlap: HSPC MUT unique
C16orf87	No overlap: HSPC MUT unique
MIER1	No overlap: HSPC MUT unique
KANSL2	No overlap: HSPC MUT unique
RNF167	No overlap: HSPC MUT unique
GMFB	No overlap: HSPC MUT unique
BLOC1S2	No overlap: HSPC MUT unique
RCSD1	No overlap: HSPC MUT unique
SIAH2	No overlap: HSPC MUT unique
L3HYPDH	No overlap: HSPC MUT unique
TMED4	No overlap: HSPC MUT unique
OSGIN2	No overlap: HSPC MUT unique
ZNF350	No overlap: HSPC MUT unique
CCDC88B	No overlap: HSPC MUT unique
SSR2	No overlap: HSPC MUT unique
MMRN1	No overlap: HSPC MUT unique
USP14	No overlap: HSPC MUT unique
SMIM1	No overlap: HSPC MUT unique
HSBP1L1	No overlap: HSPC MUT unique
SCRN2	No overlap: HSPC MUT unique
AAK1	No overlap: HSPC MUT unique
RAB2A	No overlap: HSPC MUT unique
TOX4	No overlap: HSPC MUT unique
GNG5	No overlap: HSPC MUT unique
GGNBP2	No overlap: HSPC MUT unique
DBI	No overlap: HSPC MUT unique
ZC3H11A	No overlap: HSPC MUT unique
COX8A	No overlap: HSPC MUT unique
PIM3	No overlap: HSPC MUT unique
SLC25A11	No overlap: HSPC MUT unique
SYNCRIP	No overlap: HSPC MUT unique
CLTC	No overlap: HSPC MUT unique
DYNC1H1	No overlap: HSPC MUT unique
BCL11A	No overlap: HSPC MUT unique
SLC25A33	No overlap: HSPC MUT unique
OBSL1	No overlap: HSPC MUT unique
NOP58	No overlap: HSPC MUT unique
CWC15	No overlap: HSPC MUT unique
LTV1	No overlap: HSPC MUT unique
SMOX	No overlap: HSPC MUT unique
HPGDS	No overlap: HSPC MUT unique
MBIP	No overlap: HSPC MUT unique
CD59	No overlap: HSPC MUT unique
HMG20B	No overlap: HSPC MUT unique
MDM4	No overlap: HSPC MUT unique
GNA12	No overlap: HSPC MUT unique
POM121	No overlap: HSPC MUT unique
PRKCH	No overlap: HSPC MUT unique
PSMA3	No overlap: HSPC MUT unique
TOMM20	No overlap: HSPC MUT unique
DYNLL1	No overlap: HSPC MUT unique
PPP1R12A	No overlap: HSPC MUT unique
C11orf49	No overlap: HSPC MUT unique
TAF11	No overlap: HSPC MUT unique
CALN1	No overlap: HSPC MUT unique
SCAF11	No overlap: HSPC MUT unique
GALNT2	No overlap: HSPC MUT unique
FAR1	No overlap: HSPC MUT unique
MCM4	No overlap: HSPC MUT unique
SEC63	No overlap: HSPC MUT unique
LARS	No overlap: HSPC MUT unique
TP53I13	No overlap: HSPC MUT unique
HERC1	No overlap: HSPC MUT unique
YTHDF2	No overlap: HSPC MUT unique
BZW1	No overlap: HSPC MUT unique
FBXO7	No overlap: HSPC MUT unique
CNP	No overlap: HSPC MUT unique
CUL5	No overlap: HSPC MUT unique
SLA	No overlap: HSPC MUT unique
UBL5	No overlap: HSPC MUT unique
SPTLC2	No overlap: HSPC MUT unique
SUMO1	No overlap: HSPC MUT unique
RNF168	No overlap: HSPC MUT unique
NGDN	No overlap: HSPC MUT unique
KPNA3	No overlap: HSPC MUT unique
MTHFD2L	No overlap: HSPC MUT unique
RICTOR	No overlap: HSPC MUT unique
NUP153	No overlap: HSPC MUT unique
CHKA	No overlap: HSPC MUT unique
HIST2H2AC	No overlap: HSPC MUT unique
ADPGK	No overlap: HSPC MUT unique
CHD4	No overlap: HSPC MUT unique
ZNF880	No overlap: HSPC MUT unique
SPOP	No overlap: HSPC MUT unique
HIST1H2BG	No overlap: HSPC MUT unique
MVP	No overlap: HSPC MUT unique
NGFRAP1	No overlap: HSPC MUT unique
SQLE	No overlap: HSPC MUT unique
BNIP2	No overlap: HSPC MUT unique
RPS19BP1	No overlap: HSPC MUT unique
SEC24B	No overlap: HSPC MUT unique
DHX29	No overlap: HSPC MUT unique
PPP1R10	No overlap: HSPC MUT unique
BAG5	No overlap: HSPC MUT unique
SLC25A36	No overlap: HSPC MUT unique
CPSF1	No overlap: HSPC MUT unique
NDUFB2	No overlap: HSPC MUT unique
PREB	No overlap: HSPC MUT unique
SMC3	No overlap: HSPC MUT unique
RAB13	No overlap: HSPC MUT unique
ELK3	No overlap: HSPC MUT unique
TCP1	No overlap: HSPC MUT unique
FMNL1	No overlap: HSPC MUT unique
GYPC	No overlap: HSPC MUT unique
SP100	No overlap: HSPC MUT unique
MED10	No overlap: HSPC MUT unique
MRPL47	No overlap: HSPC MUT unique
STK24	No overlap: HSPC MUT unique
NOTCH2NL	No overlap: HSPC MUT unique
TMIGD2	No overlap: HSPC MUT unique
TOP1	No overlap: HSPC MUT unique
CNST	No overlap: HSPC MUT unique
MPST	No overlap: HSPC MUT unique
COPS3	No overlap: HSPC MUT unique
CDC5L	No overlap: HSPC MUT unique
YWHAH	No overlap: HSPC MUT unique
RPF1	No overlap: HSPC MUT unique
NREP	No overlap: HSPC MUT unique
PDE6G	No overlap: HSPC MUT unique
C2orf68	No overlap: HSPC MUT unique
EVL	No overlap: HSPC MUT unique
H1F0	No overlap: HSPC MUT unique
CIB1	No overlap: HSPC MUT unique
SPCS3	No overlap: HSPC MUT unique
MED6	No overlap: HSPC MUT unique
DHX9	No overlap: HSPC MUT unique
IFNGR1	No overlap: HSPC MUT unique
RAD21	No overlap: HSPC MUT unique
MTPAP	No overlap: HSPC MUT unique
SRI	No overlap: HSPC MUT unique
ZFP36L1	No overlap: HSPC MUT unique
SSH2	No overlap: HSPC MUT unique
ELP5	No overlap: HSPC MUT unique
ATP6V1H	No overlap: HSPC MUT unique
WBP2	No overlap: HSPC MUT unique
CKS1B	No overlap: HSPC MUT unique
BAZ2A	No overlap: HSPC MUT unique
GSTM1	No overlap: HSPC MUT unique
CYLD	No overlap: HSPC MUT unique
CASP8	No overlap: HSPC MUT unique
PUM1	No overlap: HSPC MUT unique
CRIP2	No overlap: HSPC MUT unique
TAPT1	No overlap: HSPC MUT unique
BOP1	No overlap: HSPC MUT unique
PPHLN1	No overlap: HSPC MUT unique
PSMA6	No overlap: HSPC MUT unique
TBPL1	No overlap: HSPC MUT unique
RBM6	No overlap: HSPC MUT unique
TRO	No overlap: HSPC MUT unique
KPNA6	No overlap: HSPC MUT unique
RANBP1	No overlap: HSPC MUT unique
TSPAN4	No overlap: HSPC MUT unique
PPP1R15B	No overlap: HSPC MUT unique
ZNF121	No overlap: HSPC MUT unique
IFRD1	No overlap: HSPC MUT unique
PSMD14	No overlap: HSPC MUT unique
EIF3A	No overlap: HSPC MUT unique
DSTYK	No overlap: HSPC MUT unique
WARS	No overlap: HSPC MUT unique
PRPF4B	No overlap: HSPC MUT unique
CYTL1	No overlap: HSPC MUT unique
HBS1L	No overlap: HSPC MUT unique
ADAM28	No overlap: HSPC MUT unique
TMEM205	No overlap: HSPC MUT unique
BSDC1	No overlap: HSPC MUT unique
UBA7	No overlap: HSPC MUT unique
ERCC-00003	No overlap: HSPC MUT unique
SPRY1	No overlap: HSPC MUT unique
SERPING1	No overlap: HSPC MUT unique
HLA-DQB1	No overlap: HSPC MUT unique
CD34	No overlap: HSPC MUT unique
TTC1	No overlap: HSPC MUT unique
COPZ1	No overlap: HSPC MUT unique
ROGDI	No overlap: HSPC MUT unique
ASAH1	No overlap: HSPC MUT unique
ITCH	No overlap: HSPC MUT unique
MTURN	No overlap: HSPC MUT unique
RNASEH1	No overlap: HSPC MUT unique
ABHD14B	No overlap: HSPC MUT unique
CORO1A	No overlap: HSPC MUT unique
ZFP91	No overlap: HSPC MUT unique
TMEM220	No overlap: HSPC MUT unique
TRADD	No overlap: HSPC MUT unique
N4BP2L2	No overlap: HSPC MUT unique
GBAS	No overlap: HSPC MUT unique
ASCC2	No overlap: HSPC MUT unique
FIS1	No overlap: HSPC MUT unique
MYB	No overlap: HSPC MUT unique
GOLGA4	No overlap: HSPC MUT unique
CXXC5	No overlap: HSPC MUT unique
SCAF4	No overlap: HSPC MUT unique
UBR5	No overlap: HSPC MUT unique
GTF2IRD2B	No overlap: HSPC MUT unique
HERPUD1	No overlap: HSPC MUT unique
RBPMS	No overlap: HSPC MUT unique
TESPA1	No overlap: HSPC MUT unique
FAM53C	No overlap: HSPC MUT unique
PTPRCAP	No overlap: HSPC MUT unique
R3HDM4	No overlap: HSPC MUT unique
RWDD1	No overlap: HSPC MUT unique
ERCC-00042	No overlap: HSPC MUT unique
TMEM43	No overlap: HSPC MUT unique
SORL1	No overlap: HSPC MUT unique
BIVM	No overlap: HSPC MUT unique
C17orf62	No overlap: HSPC MUT unique
AKR1B1	No overlap: HSPC MUT unique
WHAMM	No overlap: HSPC MUT unique
SREK1IP1	No overlap: HSPC MUT unique
MED30	No overlap: HSPC MUT unique
POLR1C	No overlap: HSPC MUT unique
MPHOSPH8	No overlap: HSPC MUT unique
POLE3	No overlap: HSPC MUT unique
FABP5	No overlap: HSPC MUT unique
KRR1	No overlap: HSPC MUT unique
ERCC-00136	No overlap: HSPC MUT unique
PILRB	No overlap: HSPC MUT unique
MAFF	No overlap: HSPC MUT unique
TIAL1	No overlap: HSPC MUT unique
CDC42SE2	No overlap: HSPC MUT unique
RABL2A	No overlap: HSPC MUT unique
UBAC1	No overlap: HSPC MUT unique
CLEC2B	No overlap: HSPC MUT unique
GGH	No overlap: HSPC MUT unique
TBRG1	No overlap: HSPC MUT unique
CYTH4	No overlap: HSPC MUT unique
PIEZO1	No overlap: HSPC MUT unique
MAPRE2	No overlap: HSPC MUT unique
SDCBP	No overlap: HSPC MUT unique
RNF138	No overlap: HSPC MUT unique
NECAP2	No overlap: HSPC MUT unique
RP11-486G15.2	No overlap: HSPC MUT unique
HNRNPA3	No overlap: HSPC MUT unique
CD81	No overlap: HSPC MUT unique
LGALS8	No overlap: HSPC MUT unique
KIAA0101	No overlap: HSPC MUT unique
HEXDC	No overlap: HSPC MUT unique
GPATCH2L	No overlap: HSPC MUT unique
PNRC1	No overlap: HSPC MUT unique
TOMM7	No overlap: HSPC MUT unique
PRSS21	No overlap: HSPC MUT unique
GIMAP7	No overlap: HSPC MUT unique
CASP2	No overlap: HSPC MUT unique
CLK4	No overlap: HSPC MUT unique
CBX6	No overlap: HSPC MUT unique
CCDC88A	No overlap: HSPC MUT unique
USP39	No overlap: HSPC MUT unique
USP12	No overlap: HSPC MUT unique
CEP68	No overlap: HSPC MUT unique
P4HTM	No overlap: HSPC MUT unique
ACD	No overlap: HSPC MUT unique
RAB37	No overlap: HSPC MUT unique
NBPF10	No overlap: HSPC MUT unique
MED13	No overlap: HSPC MUT unique
CDCA7	No overlap: HSPC MUT unique
RNF19A	No overlap: HSPC MUT unique
JMJD1C	No overlap: HSPC MUT unique
HDAC2	No overlap: HSPC MUT unique
INO80D	No overlap: HSPC MUT unique
DPYSL2	No overlap: HSPC MUT unique
TMEM87A	No overlap: HSPC MUT unique
CBWD2	No overlap: HSPC MUT unique
GRK6	No overlap: HSPC MUT unique
RSF1	No overlap: HSPC MUT unique
ALYREF	No overlap: HSPC MUT unique
CCDC23	No overlap: HSPC MUT unique
ADI1	No overlap: HSPC MUT unique
TMC6	No overlap: HSPC MUT unique
SLC35A4	No overlap: HSPC MUT unique
PRKAA1	No overlap: HSPC MUT unique
ABHD2	No overlap: HSPC MUT unique
TXNL1	No overlap: HSPC MUT unique
OPA1	No overlap: HSPC MUT unique
MORC3	No overlap: HSPC MUT unique
SH3GL1	No overlap: HSPC MUT unique
FAM126B	No overlap: HSPC MUT unique
CDC42BPA	No overlap: HSPC MUT unique
CELF1	No overlap: HSPC MUT unique
NR3C1	No overlap: HSPC MUT unique
JARID2	No overlap: HSPC MUT unique
POLE4	No overlap: HSPC MUT unique
SPNS3	No overlap: HSPC MUT unique
PDIA6	No overlap: HSPC MUT unique
GNPTAB	No overlap: HSPC MUT unique
WDR54	No overlap: HSPC MUT unique
KDM3A	No overlap: HSPC MUT unique
COG3	No overlap: HSPC MUT unique
CACNB2	No overlap: HSPC MUT unique
TIMMDC1	No overlap: HSPC MUT unique
ZCCHC11	No overlap: HSPC MUT unique
PSMC6	No overlap: HSPC MUT unique
HLA-F	No overlap: HSPC MUT unique
PSMD6	No overlap: HSPC MUT unique
KRI1	No overlap: HSPC MUT unique
SLTM	No overlap: HSPC MUT unique
RIOK1	No overlap: HSPC MUT unique
HNRNPL	No overlap: HSPC MUT unique
TYMS	No overlap: HSPC MUT unique
SMARCC2	No overlap: HSPC MUT unique
IL2RG	No overlap: HSPC MUT unique
TAF7	No overlap: HSPC MUT unique
DR1	No overlap: HSPC MUT unique
ALDH1A1	No overlap: HSPC MUT unique
MCM5	No overlap: HSPC MUT unique
CUL3	No overlap: HSPC MUT unique
SERINC3	No overlap: HSPC MUT unique
RBM26	No overlap: HSPC MUT unique
ILKAP	No overlap: HSPC MUT unique
MRPS15	No overlap: HSPC MUT unique
HSPA1B	No overlap: HSPC MUT unique
ACSS1	No overlap: HSPC MUT unique
TMEM14B	No overlap: HSPC MUT unique
TAPSAR1	No overlap: HSPC MUT unique
SCN9A	No overlap: HSPC MUT unique
PFDN2	No overlap: HSPC MUT unique
ATAD3A	No overlap: HSPC MUT unique
MAD2L1BP	No overlap: HSPC MUT unique
SUCO	No overlap: HSPC MUT unique
PPP1R18	No overlap: HSPC MUT unique
SPG20	No overlap: HSPC MUT unique
CITED2	No overlap: HSPC MUT unique
RAB11A	No overlap: HSPC MUT unique
NPR3	No overlap: HSPC MUT unique
PON2	No overlap: HSPC MUT unique
CLSTN1	No overlap: HSPC MUT unique
BHLHE40	No overlap: HSPC MUT unique
BCKDK	No overlap: HSPC MUT unique
FAM49B	No overlap: HSPC MUT unique
ERCC-00060	No overlap: HSPC MUT unique
C11orf68	No overlap: HSPC MUT unique
RSRC2	No overlap: HSPC MUT unique
TM9SF3	No overlap: HSPC MUT unique
RP11-47A8.5	No overlap: HSPC MUT unique
KIAA0226	No overlap: HSPC MUT unique
CWF19L1	No overlap: HSPC MUT unique
AKAP8L	No overlap: HSPC MUT unique
PTBP1	No overlap: HSPC MUT unique
SKAP2	No overlap: HSPC MUT unique
CUL4A	No overlap: HSPC MUT unique
PRKCB	No overlap: HSPC MUT unique
PIP4K2A	No overlap: HSPC MUT unique
TXNRD1	No overlap: HSPC MUT unique
AGFG1	No overlap: HSPC MUT unique
DDX52	No overlap: HSPC MUT unique
ATP2B4	No overlap: HSPC MUT unique
BRWD1	No overlap: HSPC MUT unique
SNX17	No overlap: HSPC MUT unique
AC084018.1	No overlap: HSPC MUT unique
CSNK1D	No overlap: HSPC MUT unique
DNAAF2	No overlap: HSPC MUT unique
MKLN1	No overlap: HSPC MUT unique
NAA16	No overlap: HSPC MUT unique
ZFAND1	No overlap: HSPC MUT unique
UBR1	No overlap: HSPC MUT unique
SMCHD1	No overlap: HSPC MUT unique
NIPBL	No overlap: HSPC MUT unique
CHD1L	No overlap: HSPC MUT unique
TIMM50	No overlap: HSPC MUT unique
TPM1	No overlap: HSPC MUT unique
FRG1B	No overlap: HSPC MUT unique
RAB14	No overlap: HSPC MUT unique
UBA2	No overlap: HSPC MUT unique
RHOG	No overlap: HSPC MUT unique
KLF2	No overlap: HSPC MUT unique
MPLKIP	No overlap: HSPC MUT unique
RNF139	No overlap: HSPC MUT unique
INO80	No overlap: HSPC MUT unique
PRRC2B	No overlap: HSPC MUT unique
RABL2B	No overlap: HSPC MUT unique
BRD4	No overlap: HSPC MUT unique
DCXR	No overlap: HSPC MUT unique
APEH	No overlap: HSPC MUT unique
SLMAP	No overlap: HSPC MUT unique
CAMK1D	No overlap: HSPC MUT unique
UBE2A	No overlap: HSPC MUT unique
GNA13	No overlap: HSPC MUT unique
BAG1	No overlap: HSPC MUT unique
TMEM14A	No overlap: HSPC MUT unique
SNRNP200	No overlap: HSPC MUT unique
PPP2R2A	No overlap: HSPC MUT unique
PEPD	No overlap: HSPC MUT unique
MBOAT1	No overlap: HSPC MUT unique
MX1	No overlap: HSPC MUT unique
PLEKHM2	No overlap: HSPC MUT unique
TNIP1	No overlap: HSPC MUT unique
CNIH4	No overlap: HSPC MUT unique
PCNA	No overlap: HSPC MUT unique
SLC35C2	No overlap: HSPC MUT unique
TSTA3	No overlap: HSPC MUT unique
UCHL3	No overlap: HSPC MUT unique
RAB4B	No overlap: HSPC MUT unique
ATP2A2	No overlap: HSPC MUT unique
PWWP2A	No overlap: HSPC MUT unique
NT5C3B	No overlap: HSPC MUT unique
NIPSNAP1	No overlap: HSPC MUT unique
MEN1	No overlap: HSPC MUT unique
ARL6IP1	No overlap: HSPC MUT unique
FAM216A	No overlap: HSPC MUT unique
ACSF3	No overlap: HSPC MUT unique
SCFD1	No overlap: HSPC MUT unique
NT5C3A	No overlap: HSPC MUT unique
ASPSCR1	No overlap: HSPC MUT unique
RGPD6	No overlap: HSPC MUT unique
NT5M	No overlap: HSPC MUT unique
CPA3	No overlap: HSPC MUT unique
OTUD4	No overlap: HSPC MUT unique
TRIP12	No overlap: HSPC MUT unique
PRKD2	No overlap: HSPC MUT unique
CAPNS1	No overlap: HSPC MUT unique
MT-ND4L	No overlap: HSPC MUT unique
LYSMD2	No overlap: HSPC MUT unique
LRCH4	No overlap: HSPC MUT unique
PIGQ	No overlap: HSPC MUT unique
PPP6C	No overlap: HSPC MUT unique
HIST1H2BK	No overlap: HSPC MUT unique
GBP2	No overlap: HSPC MUT unique
RP11-354E11.2	No overlap: HSPC MUT unique
EP300	No overlap: HSPC MUT unique
HERC2	No overlap: HSPC MUT unique
TPP1	No overlap: HSPC MUT unique
MED4	No overlap: HSPC MUT unique
TOMM40	No overlap: HSPC MUT unique
XPNPEP1	No overlap: HSPC MUT unique
HELLS	No overlap: HSPC MUT unique
UFD1L	No overlap: HSPC MUT unique
ALDH2	No overlap: HSPC MUT unique
ZMYM5	No overlap: HSPC MUT unique
CPPED1	No overlap: HSPC MUT unique
TRIM33	No overlap: HSPC MUT unique
P2RX1	No overlap: HSPC MUT unique
MIF4GD	No overlap: HSPC MUT unique
HDDC2	No overlap: HSPC MUT unique
SMS	No overlap: HSPC MUT unique
KCMF1	No overlap: HSPC MUT unique
RAP2C	No overlap: HSPC MUT unique
BCCIP	No overlap: HSPC MUT unique
ANKLE2	No overlap: HSPC MUT unique
LINC00998	No overlap: HSPC MUT unique
STRADB	No overlap: HSPC MUT unique
TOB1	No overlap: HSPC MUT unique
RANBP9	No overlap: HSPC MUT unique
PDCL3	No overlap: HSPC MUT unique
XRN2	No overlap: HSPC MUT unique
BRIX1	No overlap: HSPC MUT unique
TMEM41A	No overlap: HSPC MUT unique
UBE2J2	No overlap: HSPC MUT unique
STRAP	No overlap: HSPC MUT unique
KDM2A	No overlap: HSPC MUT unique
TCEA1	No overlap: HSPC MUT unique
TSPYL1	No overlap: HSPC MUT unique
ARL5A	No overlap: HSPC MUT unique
C17orf89	No overlap: HSPC MUT unique
NMD3	No overlap: HSPC MUT unique
AC013449.1	No overlap: HSPC MUT unique
MCFD2	No overlap: HSPC MUT unique
ZYX	No overlap: HSPC MUT unique
WRNIP1	No overlap: HSPC MUT unique
EVA1B	No overlap: HSPC MUT unique
TGOLN2	No overlap: HSPC MUT unique
NRAS	No overlap: HSPC MUT unique
MTIF3	No overlap: HSPC MUT unique
G3BP2	No overlap: HSPC MUT unique
BAG6	No overlap: HSPC MUT unique
ERMP1	No overlap: HSPC MUT unique
GGA1	No overlap: HSPC MUT unique
DEAF1	No overlap: HSPC MUT unique
ACIN1	No overlap: HSPC MUT unique
DENND4A	No overlap: HSPC MUT unique
NUDCD3	No overlap: HSPC MUT unique
DDIT3	No overlap: HSPC MUT unique
SNHG8	No overlap: HSPC MUT unique
IPO5	No overlap: HSPC MUT unique
LRRC8A	No overlap: HSPC MUT unique
TUG1	No overlap: HSPC MUT unique
TGIF2	No overlap: HSPC MUT unique
DTD1	No overlap: HSPC MUT unique
HSPA1A	No overlap: HSPC MUT unique
EIF4E	No overlap: HSPC MUT unique
WBP5	No overlap: HSPC MUT unique
RAD50	No overlap: HSPC MUT unique
CSNK2A2	No overlap: HSPC MUT unique
MIR24-2	No overlap: HSPC MUT unique
NOTCH2	No overlap: HSPC MUT unique
METAP2	No overlap: HSPC MUT unique
SRSF1	No overlap: HSPC MUT unique
ERCC-00043	No overlap: HSPC MUT unique
IPO11	No overlap: HSPC MUT unique
RMDN1	No overlap: HSPC MUT unique
PCGF5	No overlap: HSPC MUT unique
UROS	No overlap: HSPC MUT unique
INSR	No overlap: HSPC MUT unique
RAB7A	No overlap: HSPC MUT unique
TACC3	No overlap: HSPC MUT unique
UNK	No overlap: HSPC MUT unique
SNRNP25	No overlap: HSPC MUT unique
NSUN2	No overlap: HSPC MUT unique
VCL	No overlap: HSPC MUT unique
MAGOH	No overlap: HSPC MUT unique
PTPN11	No overlap: HSPC MUT unique
RCL1	No overlap: HSPC MUT unique
MAPRE1	No overlap: HSPC MUT unique
NUDT5	No overlap: HSPC MUT unique
CBFB	No overlap: HSPC MUT unique
PPIH	No overlap: HSPC MUT unique
ELF2	No overlap: HSPC MUT unique
TKT	No overlap: HSPC MUT unique
ABLIM1	No overlap: HSPC MUT unique
LBR	No overlap: HSPC MUT unique
PCSK7	No overlap: HSPC MUT unique
ARPC5	No overlap: HSPC MUT unique
C1D	No overlap: HSPC MUT unique
KAT6A	No overlap: HSPC MUT unique
B3GNT2	No overlap: HSPC MUT unique
UBE2B	No overlap: HSPC MUT unique
RAMP1	No overlap: HSPC MUT unique
USP33	No overlap: HSPC MUT unique
CARD8	No overlap: HSPC MUT unique
HMGCL	No overlap: HSPC MUT unique
STAM	No overlap: HSPC MUT unique
NUMB	No overlap: HSPC MUT unique
EIF3J	No overlap: HSPC MUT unique
TCOF1	No overlap: HSPC MUT unique
NAAA	No overlap: HSPC MUT unique
PTRHD1	No overlap: HSPC MUT unique
RP6-206I17.1	No overlap: HSPC MUT unique
RIMKLB	No overlap: HSPC MUT unique
RNF149	No overlap: HSPC MUT unique
ZDHHC2	No overlap: HSPC MUT unique
PRDX3	No overlap: HSPC MUT unique
PPCS	No overlap: HSPC MUT unique
MGAT1	No overlap: HSPC MUT unique
GBP4	No overlap: HSPC MUT unique
IL1B	No overlap: HSPC MUT unique
ATXN3	No overlap: HSPC MUT unique
MRPL22	No overlap: HSPC MUT unique
TFG	No overlap: HSPC MUT unique
ID1	No overlap: HSPC MUT unique
HLA-DMB	No overlap: HSPC MUT unique
MARVELD1	No overlap: HSPC MUT unique
ZNF512	No overlap: HSPC MUT unique
GANAB	No overlap: HSPC MUT unique
DDX56	No overlap: HSPC MUT unique
PABPC4	No overlap: HSPC MUT unique
HEATR5B	No overlap: HSPC MUT unique
C1orf27	No overlap: HSPC MUT unique
C7orf73	No overlap: HSPC MUT unique
GSTM4	No overlap: HSPC MUT unique
SHANK3	No overlap: HSPC MUT unique
SLMO2	No overlap: HSPC MUT unique
TIMM17A	No overlap: HSPC MUT unique
UBQLN1	No overlap: HSPC MUT unique
CAND1	No overlap: HSPC MUT unique
POMGNT1	No overlap: HSPC MUT unique
RAE1	No overlap: HSPC MUT unique
RAB11B	No overlap: HSPC MUT unique
C21orf58	No overlap: HSPC MUT unique
NUCB1	No overlap: HSPC MUT unique
CTDSPL2	No overlap: HSPC MUT unique
PITHD1	No overlap: HSPC MUT unique
UPF3A	No overlap: HSPC MUT unique
RRP1B	No overlap: HSPC MUT unique
ZNF644	No overlap: HSPC MUT unique
