"gene"	"Mean_pre-TP53-sAML"	"Mean_CP-TP53-MPN"	"log2fc"	"ExpressingCells_pre-TP53-sAML"	"nCells_pre-TP53-sAML"	"nCells_CP-TP53-MPN"	"ExpressingCells_CP-TP53-MPN"	"ExpressingFraction_pre-TP53-sAML"	"ExpressingFraction_CP-TP53-MPN"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"ETNK1"	2.32198406788252	0.919601670772098	-1.40238239711042	296	273	191	61	0.64527027027027	0.223443223443223	1.06198339524727e-23	1.61354584906051e-24	4.56404730146722e-19	7.21808251874993e-41	2.93114300948903e-38	"up_in_pre-TP53-sAML"	NA
"TMBIM4.1"	1.84307970136868	0.430567561230134	-1.41251214013855	296	273	162	46	0.547297297297297	0.168498168498169	1.59458277601859e-20	2.26223990813545e-21	3.3925453632283e-22	7.51920141873671e-41	2.99110763375543e-38	"up_in_pre-TP53-sAML"	NA
"BST2"	3.47983288091114	1.49628518705	-1.98354769386113	296	273	234	121	0.790540540540541	0.443223443223443	2.72188337760764e-17	8.24190694108997e-18	1.83677157603962e-25	1.47288401377051e-40	5.74189103928297e-38	"up_in_pre-TP53-sAML"	"BST2"
"IFI16"	3.58179254554515	1.45638327978846	-2.12540926575668	296	273	223	101	0.753378378378378	0.36996336996337	6.07216014435477e-20	1.73992458783293e-20	1.39082156375948e-22	2.34308809669857e-40	8.95519081977423e-38	"up_in_pre-TP53-sAML"	"IFI16"
"TAPSAR1"	1.96336554421912	0.166507363553422	-1.7968581806657	296	273	107	13	0.361486486486487	0.0476190476190476	1.23442743399686e-19	9.25499546154465e-22	6.36998950490441e-21	5.65573796852317e-40	2.12003162466257e-37	"up_in_pre-TP53-sAML"	NA
"ZBTB43"	0.770487833123719	2.61766927517469	1.84718144205097	296	273	61	161	0.206081081081081	0.58974358974359	1.58307005257491e-20	3.78681945753587e-21	2.16425620691989e-21	7.83544640445079e-40	2.88167021350103e-37	"up_in_CP-TP53-MPN"	NA
"MEX3C"	0.389791517762983	1.7271427207769	1.33735120301391	296	273	31	124	0.10472972972973	0.454212454212454	2.03018509821911e-20	1.98138742541873e-21	2.398426844712e-20	4.4598271227416e-39	1.6098324125274e-36	"up_in_CP-TP53-MPN"	NA
"AREGB"	0.0532011921762213	1.24934218998561	1.19614099780939	296	273	8	84	0.027027027027027	0.307692307692308	2.94068374697989e-19	1.60749964651387e-21	3.60306860571099e-20	5.42411623064044e-39	1.92230679213897e-36	"up_in_CP-TP53-MPN"	NA
"DDX6"	1.09929178436137	3.11632646845731	2.01703468409594	296	273	89	186	0.300675675675676	0.681318681318681	2.39624768804568e-19	5.40965330281157e-20	1.30258491900606e-21	6.58522823530756e-39	2.29212979933241e-36	"up_in_CP-TP53-MPN"	NA
"RNF103"	0.229061670243786	1.39371935334092	1.16465768309713	296	273	25	113	0.0844594594594595	0.413919413919414	1.2764578381474e-19	1.17448272283986e-20	1.82280534168006e-20	1.97691109344738e-38	6.64406622785499e-36	"up_in_CP-TP53-MPN"	NA
"H3F3B"	8.63689834159129	10.2250299579016	1.58813161631031	296	273	296	273	1	1	NA	1	2.14094510466257e-40	1.97699487592648e-38	6.64406622785499e-36	"up_in_CP-TP53-MPN"	NA
"ETF1"	1.2077604282432	2.9356520881048	1.72789165986161	296	273	92	193	0.310810810810811	0.706959706959707	8.12574962971951e-21	1.75518717926751e-21	1.37482482338685e-19	2.2253980487601e-38	7.35211165532742e-36	"up_in_CP-TP53-MPN"	NA
"NDUFA8"	2.45801156230966	0.601329861530295	-1.85668170077937	296	273	155	45	0.523648648648649	0.164835164835165	7.42553159361617e-19	8.71521796869115e-20	3.55523136751545e-21	2.84973255978689e-38	9.25783117589436e-36	"up_in_pre-TP53-sAML"	NA
"RNF10"	1.47705445109901	3.47477577254849	1.99772132144948	296	273	124	214	0.418918918918919	0.783882783882784	1.76772595630804e-18	4.61443809138081e-19	7.15935920417516e-22	3.03632376829402e-38	9.7022988346864e-36	"up_in_CP-TP53-MPN"	NA
