"gene"	"Mean_pre-TP53-sAML"	"Mean_CP-TP53-MPN"	"log2fc"	"ExpressingCells_pre-TP53-sAML"	"nCells_pre-TP53-sAML"	"nCells_CP-TP53-MPN"	"ExpressingCells_CP-TP53-MPN"	"ExpressingFraction_pre-TP53-sAML"	"ExpressingFraction_CP-TP53-MPN"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"C2CD2"	0.74795873851147	0.298750231471099	-0.449208507040372	296	273	65	26	0.219594594594595	0.0952380952380952	8.54209128792612e-05	5.35820115288587e-05	4.71699160229723e-05	5.25611669282439e-08	5.58135618433679e-07	"NA"	NA
"KDM5B"	2.14533147367406	2.98434271751084	0.839011243836782	296	273	142	177	0.47972972972973	0.648351648351648	7.36066856323602e-05	6.82219999881767e-05	3.70557221622207e-05	5.25721832261561e-08	5.58135618433679e-07	"NA"	NA
"TMIGD2"	0.330148846280161	0.857900262509944	0.527751416229783	296	273	28	59	0.0945945945945946	0.216117216117216	9.32897474204691e-05	6.44160257453892e-05	3.94108103946408e-05	5.27834277826372e-08	5.60073257669659e-07	"NA"	NA
"MAFG"	1.07027219397159	1.79376079513942	0.723488601167822	296	273	77	115	0.260135135135135	0.421245421245421	7.13255955545089e-05	6.20738210302064e-05	4.12944833458394e-05	5.32705505744202e-08	5.6493447867062e-07	"NA"	NA
"CDIP1"	0.56389579286956	0.308141218148251	-0.255754574721309	296	273	69	28	0.233108108108108	0.102564102564103	5.687665594449e-05	3.27824260447139e-05	7.96611625775333e-05	5.42231918886556e-08	5.74724554808958e-07	"NA"	NA
"PHPT1"	3.28761223942838	2.18078406440951	-1.10682817501887	296	273	192	143	0.648648648648649	0.523809523809524	0.00330135361758235	0.00283642608886002	9.21917694140968e-07	5.42916741038668e-08	5.75137669365528e-07	"up_in_pre-TP53-sAML"	NA
"IFNGR2"	1.16820512392561	1.86407259405913	0.69586747013352	296	273	84	122	0.283783783783784	0.446886446886447	7.58559447298375e-05	5.82211138801932e-05	4.68353655323398e-05	5.64998107845057e-08	5.9820440619858e-07	"NA"	NA
"GAS2"	0.400307402072298	0.0390041000501164	-0.361303302022182	296	273	31	6	0.10472972972973	0.021978021978022	0.000128496895181788	5.43699217714284e-05	5.02498468287659e-05	5.66037917493525e-08	5.98979972192388e-07	"NA"	NA
"RNF139-AS1"	0.306322301966034	0.0212842475758668	-0.285038054390167	296	273	27	4	0.0912162162162162	0.0146520146520147	0.000125439854917689	5.29887632289194e-05	5.17538933452084e-05	5.68067625884328e-08	6.00801636665074e-07	"NA"	NA
"RNASET2"	1.8111373281801	1.08739883318663	-0.723738494993468	296	273	122	68	0.412162162162162	0.249084249084249	5.53416764465175e-05	4.12148596085097e-05	6.67017725766238e-05	5.69394205390089e-08	6.01878083051172e-07	"NA"	NA
"ANKZF1"	1.00847996779612	0.51524521787708	-0.493234749919043	296	273	84	39	0.283783783783784	0.142857142857143	6.94864329332394e-05	4.32953475663823e-05	6.43079162703913e-05	5.76316673237844e-08	6.08865289688458e-07	"NA"	NA
"PAICS"	1.66574833021482	0.957486529675279	-0.708261800539542	296	273	125	72	0.422297297297297	0.263736263736264	0.000102963005524343	7.24575931583727e-05	3.84668753562313e-05	5.76904409001304e-08	6.09156053101486e-07	"NA"	NA
"PRR3"	0.424881156937763	0.0449971875336073	-0.379883969404156	296	273	31	6	0.10472972972973	0.021978021978022	0.000128496895181788	5.43699217714284e-05	5.15489953096119e-05	5.79956738055344e-08	6.12047468228195e-07	"NA"	NA
"ANKFY1"	0.388921271010899	0.0834339752160873	-0.305487295794812	296	273	35	8	0.118243243243243	0.0293040293040293	0.000117488547644917	4.89490155030314e-05	5.77313929407419e-05	5.84520545848645e-08	6.16530004311785e-07	"NA"	NA
"MIS18BP1"	2.28995310184323	3.34579695133599	1.05584384949276	296	273	155	184	0.523648648648649	0.673992673992674	0.000363229256960002	0.000321669876509856	8.96483830430196e-06	5.95896918634625e-08	6.28189439590379e-07	"up_in_CP-TP53-MPN"	NA
"ZFAND2A"	0.465723430503644	1.01741344324401	0.551690012740369	296	273	36	69	0.121621621621622	0.252747252747253	8.85121848337683e-05	5.88864688243313e-05	4.95522444719161e-05	6.02627570726629e-08	6.34941438302889e-07	"NA"	NA
"ARRB1"	0.55852443242072	0.258465187171272	-0.300059245249448	296	273	58	21	0.195945945945946	0.0769230769230769	6.87061284934877e-05	5.01817759718044e-05	5.81992829798669e-05	6.03135903691064e-08	6.35133713384453e-07	"NA"	NA
"TVP23B"	0.464240285480039	0.139002100058648	-0.325238185421391	296	273	57	21	0.192567567567568	0.0769230769230769	0.000102322170908015	7.77823547426122e-05	3.7803522679724e-05	6.07046588359926e-08	6.3890670088076e-07	"NA"	NA
"ACSM1"	0.0912676800347447	0.326582875017188	0.235315194982444	296	273	7	29	0.0236486486486486	0.106227106227106	0.000108827264645389	4.73617710551275e-05	6.21522601311206e-05	6.07674043162699e-08	6.39221934664184e-07	"NA"	NA
"RNF4"	0.688170463448633	1.26773111244941	0.579560649000776	296	273	61	97	0.206081081081081	0.355311355311355	0.000105650885527651	8.03408065773729e-05	3.66619086938799e-05	6.0802884070849e-08	6.39250170608947e-07	"NA"	NA
"B3GNT1"	0.174135604187397	0	-0.174135604187397	296	273	16	0	0.0540540540540541	0	0.000269656476196324	2.97869733269762e-05	9.95089204039449e-05	6.1168622135873e-08	6.42402361353684e-07	"NA"	NA
"CCDC42"	0.22578919716164	0	-0.22578919716164	296	273	16	0	0.0540540540540541	0	0.000269656476196324	2.97869733269762e-05	9.95089204039449e-05	6.1168622135873e-08	6.42402361353684e-07	"NA"	NA
"NEK7"	0.658840255715982	0.29204249371838	-0.366797761997602	296	273	68	28	0.22972972972973	0.102564102564103	8.33577738297805e-05	4.9618921370047e-05	6.00277240356841e-05	6.14521677262889e-08	6.45032661992904e-07	"NA"	NA
"RNF8"	1.24568406974363	0.497416891329059	-0.748267178414576	296	273	83	40	0.280405405405405	0.146520146520147	0.000160533213856717	0.000103858730132356	2.89215467627466e-05	6.19476512294495e-08	6.49883540239198e-07	"NA"	NA
"BSPRY"	1.81543241878153	1.03074021455658	-0.784692204224944	296	273	122	69	0.412162162162162	0.252747252747253	8.34921897512267e-05	6.21473294482078e-05	4.86720410041777e-05	6.23612828380224e-08	6.53583321124148e-07	"NA"	NA
"ST6GAL2"	0.375411606070858	0.0562441693907981	-0.31916743668006	296	273	31	6	0.10472972972973	0.021978021978022	0.000128496895181788	5.43699217714284e-05	5.56401058801753e-05	6.23673803247955e-08	6.53583321124148e-07	"NA"	NA
"NSF"	0.390532374834262	0.147886944735132	-0.24264543009913	296	273	43	12	0.14527027027027	0.043956043956044	8.01529455707817e-05	4.9837591750018e-05	6.12039918189951e-05	6.28598683807965e-08	6.58390410789084e-07	"NA"	NA
"PRR4"	1.25423940150751	0.525548837087382	-0.728690564420123	296	273	97	51	0.327702702702703	0.186813186813187	0.000190238210271095	0.00012898493259012	2.39086646612807e-05	6.35184737797399e-08	6.64931305539575e-07	"NA"	NA
"PTGR2"	0.545953004065844	0.185252465926156	-0.360700538139689	296	273	46	14	0.155405405405405	0.0512820512820513	9.47971454233501e-05	5.58668887485404e-05	5.56221912519946e-05	6.39805080113661e-08	6.69160661759648e-07	"NA"	NA
"RING1"	0.389827890705375	0.87278165801295	0.482953767307575	296	273	44	78	0.148648648648649	0.285714285714286	0.000105437469435152	9.28180964352864e-05	3.34846553054636e-05	6.39911488569662e-08	6.69160661759648e-07	"NA"	NA
"CAP1"	2.76113523671095	2.06771276932411	-0.69342246738684	296	273	203	137	0.685810810810811	0.501831501831502	1.15802232285008e-05	8.45781133942602e-06	0.000368635218591864	6.41843848494344e-08	6.70821463530925e-07	"NA"	NA
"SEC14L1"	0.507390252884276	1.00382913238572	0.49643887950144	296	273	47	82	0.158783783783784	0.3003663003663	8.51276814509456e-05	5.89441467880032e-05	5.38362375501387e-05	6.52706096737409e-08	6.81808533633739e-07	"NA"	NA
"C15orf41"	0.25258423992483	0.0560280867481119	-0.196556153176718	296	273	27	4	0.0912162162162162	0.0146520146520147	0.000125439854917689	5.29887632289194e-05	6.04042524103726e-05	6.58069721487428e-08	6.8704311790214e-07	"NA"	NA
"SNUPN"	0.877870320423936	0.328468524284253	-0.549401796139684	296	273	67	28	0.226351351351351	0.102564102564103	0.000121509507571951	7.46543143258198e-05	4.35513241022761e-05	6.67952803687026e-08	6.96988011213464e-07	"NA"	NA
"ETS2"	1.73980543956966	2.61947210475358	0.879666665183919	296	273	135	169	0.456081081081081	0.619047619047619	0.000139402221392656	0.000108595181614762	3.0077061939623e-05	6.70870366440549e-08	6.99504102168507e-07	"NA"	NA
"TMX1"	1.64260782004259	0.897825904459938	-0.744781915582649	296	273	119	68	0.402027027027027	0.249084249084249	0.000150084990898465	0.000118587980130016	2.75517481148783e-05	6.71081813592812e-08	6.99504102168507e-07	"NA"	NA
"UBN1"	0.767060012598034	1.3396793052025	0.572619292604465	296	273	59	96	0.199324324324324	0.351648351648352	6.79991375290284e-05	4.91839820558997e-05	6.68838487883073e-05	6.75439853587398e-08	7.03670423630441e-07	"NA"	NA
"CCNK"	0.103113444081483	0.4325819815501	0.329468537468617	296	273	12	37	0.0405405405405405	0.135531135531136	0.000102063428661731	7.04725173374915e-05	4.68541026302584e-05	6.77844570043611e-08	7.05798416628743e-07	"NA"	NA
"SH3YL1"	0.591788733924631	0.12974799750236	-0.462040736422272	296	273	40	11	0.135135135135135	0.0402930402930403	0.000139060770019065	5.93141741765836e-05	5.59361699296408e-05	6.80945583496449e-08	7.08648762066886e-07	"NA"	NA
"C16orf13"	2.77814508322665	1.76204552212715	-1.01609956109951	296	273	180	123	0.608108108108108	0.450549450549451	0.000234001242383681	0.000210374752222398	1.58006153796356e-05	6.82164370477202e-08	7.09367882750918e-07	"up_in_pre-TP53-sAML"	NA
"BRD1"	0.398969619721718	0.839627017298057	0.44065739757634	296	273	34	67	0.114864864864865	0.245421245421245	7.42933651221444e-05	6.68300641306708e-05	4.97541857823478e-05	6.8236444703364e-08	7.09367882750918e-07	"NA"	NA
"ROBO4"	0.306997433647594	0.0543273070942369	-0.252670126553357	296	273	29	5	0.097972972972973	0.0183150183150183	0.000129224385615755	5.48239929045195e-05	6.10198282853761e-05	6.86321909984566e-08	7.13101634830445e-07	"NA"	NA
"IFIT3"	1.01281095301893	0.498995110829472	-0.513815842189461	296	273	82	38	0.277027027027027	0.139194139194139	8.72347278949057e-05	5.65458567981008e-05	5.97196442296765e-05	6.9247720277159e-08	7.19113779244743e-07	"NA"	NA
"MIR940"	0.216112733165197	0.00607723317984771	-0.210035499985349	296	273	19	1	0.0641891891891892	0.00366300366300366	0.000225210850554924	3.87025698130786e-05	8.83765936553886e-05	7.00960209689583e-08	7.2753548494512e-07	"NA"	NA
"NGDN"	1.95989069153906	2.82548259275175	0.865591901212693	296	273	131	168	0.442567567567568	0.615384615384615	5.33832217831847e-05	3.87003359449262e-05	8.91687587695716e-05	7.06896508692387e-08	7.33306372934114e-07	"NA"	NA
"USE1"	2.11300767065641	1.08423862042479	-1.02876905023162	296	273	131	81	0.442567567567568	0.296703296703297	0.000450673032834891	0.000368170106943716	9.47432311417837e-06	7.14162589760392e-08	7.40449851043061e-07	"up_in_pre-TP53-sAML"	NA
"NAAA"	1.14522460294016	0.546631718127786	-0.598592884812375	296	273	83	39	0.280405405405405	0.142857142857143	9.95279959557248e-05	6.3635350361459e-05	5.60376736039714e-05	7.29307472945673e-08	7.55750200034931e-07	"NA"	NA
"PRDX5"	3.54118339246912	2.43479814777066	-1.10638524469845	296	273	226	179	0.763513513513513	0.655677655677656	0.00605820397122014	0.00539817692580871	6.61268892587369e-07	7.30021235875256e-08	7.56087881492056e-07	"up_in_pre-TP53-sAML"	NA
"ZNF821"	0.167200559077641	0.551023790981328	0.383823231903687	296	273	17	44	0.0574324324324324	0.161172161172161	0.000113183195548342	6.81327706682532e-05	5.24653635477579e-05	7.30986759455607e-08	7.56685816001524e-07	"NA"	NA
"TKT"	1.16294215850869	1.93365263175803	0.770710473249342	296	273	130	159	0.439189189189189	0.582417582417582	0.000867706987326738	0.000776993958268052	4.61323783988042e-06	7.32901874797598e-08	7.58265570252377e-07	"NA"	NA
"FANCF"	0.425762557024153	0.122292592639202	-0.303469964384952	296	273	35	8	0.118243243243243	0.0293040293040293	0.000117488547644917	4.89490155030314e-05	7.3367234513556e-05	7.34223399492787e-08	7.59229841003364e-07	"NA"	NA
"ORAI3"	1.0713540868677	0.482862916177604	-0.5884911706901	296	273	81	38	0.273648648648649	0.139194139194139	0.000124709562079134	8.29881174720569e-05	4.38499570149052e-05	7.43509288743158e-08	7.68424340200511e-07	"NA"	NA
"STX17"	0.744509545092668	0.289559722962814	-0.454949822129854	296	273	54	19	0.182432432432432	0.0695970695970696	9.80098165753584e-05	5.13101891121736e-05	7.18384421501622e-05	7.52642720199941e-08	7.77451611136049e-07	"NA"	NA
"DUSP19"	0.149054719942821	0.0143834509145662	-0.134671269028255	296	273	19	1	0.0641891891891892	0.00366300366300366	0.000225210850554924	3.87025698130786e-05	9.5688879052349e-05	7.56013685760131e-08	7.80106869393143e-07	"NA"	NA
"ZNF438"	0.182167501576404	0.0162324488444223	-0.165935052731982	296	273	19	1	0.0641891891891892	0.00366300366300366	0.000225210850554924	3.87025698130786e-05	9.5688879052349e-05	7.56013685760131e-08	7.80106869393143e-07	"NA"	NA
"WDR61"	1.94593326762001	0.996299348120187	-0.949633919499829	296	273	119	71	0.402027027027027	0.26007326007326	0.00046866246225822	0.000367929117351416	1.00887197014002e-05	7.576692560406e-08	7.81401541732454e-07	"NA"	NA
"HMGA2"	0.235310325885835	0.578654835439911	0.343344509554076	296	273	25	55	0.0844594594594595	0.201465201465201	9.99746395958067e-05	6.13501570253267e-05	6.06444105412115e-05	7.59340577422008e-08	7.82711080650967e-07	"NA"	NA
"LINC01137"	0.377158795056049	0.0884747864987733	-0.288684008557275	296	273	31	6	0.10472972972973	0.021978021978022	0.000128496895181788	5.43699217714284e-05	6.94885523582346e-05	7.70504907977602e-08	7.93799242404832e-07	"NA"	NA
"POLR2J2"	0.165047730625244	0.0135570933139386	-0.151490637311306	296	273	24	3	0.0810810810810811	0.010989010989011	0.000190304737880783	4.65961297291917e-05	8.15381014417864e-05	7.74629966654876e-08	7.97627433176801e-07	"NA"	NA
"MTHFS"	0.474205124887352	0.0995141047148081	-0.374691020172544	296	273	48	16	0.162162162162162	0.0586080586080586	0.000161263053174714	9.51230890550583e-05	4.09470424106024e-05	7.93162909584308e-08	8.16279378754875e-07	"NA"	NA
"LAMP1"	0.367808887920626	0.923202254046631	0.555393366126005	296	273	60	93	0.202702702702703	0.340659340659341	0.000302302042858755	0.000222410793997697	1.75373361752388e-05	7.94224711382757e-08	8.16940795476132e-07	"NA"	NA
"RP11-666A1.5"	0.222465943340779	0.0259998642621168	-0.196466079078662	296	273	24	3	0.0810810810810811	0.010989010989011	0.000190304737880783	4.65961297291917e-05	8.44103379801119e-05	8.00555196704856e-08	8.23018032392989e-07	"NA"	NA
"UNKL"	0.412073046600033	0.86271165559824	0.450638608998207	296	273	36	69	0.121621621621622	0.252747252747253	8.85121848337683e-05	5.88864688243313e-05	6.69670497689747e-05	8.02540382971292e-08	8.24623992876986e-07	"NA"	NA
"EXT2"	0.485252588625231	0.183887757396844	-0.301364831228387	296	273	46	14	0.155405405405405	0.0512820512820513	9.47971454233501e-05	5.58668887485404e-05	7.06282646041496e-05	8.02990932750868e-08	8.24652226616434e-07	"NA"	NA
"SUOX"	0.744206633928738	0.302321788238978	-0.44188484568976	296	273	59	22	0.199324324324324	0.0805860805860806	8.50834663447906e-05	6.09223983280233e-05	6.48074615205447e-05	8.0346396735805e-08	8.2470350983376e-07	"NA"	NA
"CTD-2245F17.3"	0.261039317416368	0.0315729859755886	-0.229466331440779	296	273	24	3	0.0810810810810811	0.010989010989011	0.000190304737880783	4.65961297291917e-05	8.48982428116041e-05	8.04954529224484e-08	8.25798614928613e-07	"NA"	NA
"CCDC142"	0.276787214576843	0.0722148747562097	-0.204572339820633	296	273	29	5	0.097972972972973	0.0183150183150183	0.000129224385615755	5.48239929045195e-05	7.25299250499941e-05	8.08910786241634e-08	8.29420780926982e-07	"NA"	NA
"C21orf49"	0.37025341737294	0.0424457725511406	-0.327807644821799	296	273	24	3	0.0810810810810811	0.010989010989011	0.000190304737880783	4.65961297291917e-05	8.53888117408493e-05	8.09376566088261e-08	8.29462041335036e-07	"NA"	NA
"GMPR2"	1.36393627136114	0.482004250058245	-0.881932021302897	296	273	80	39	0.27027027027027	0.142857142857143	0.00028303833616813	0.000195069422414338	2.0545412809968e-05	8.1498354978662e-08	8.34769277584908e-07	"NA"	NA
"SGTA"	0.576741514147268	1.13265179802029	0.555910283873018	296	273	59	94	0.199324324324324	0.344322344322344	0.000143199920865171	0.000103209444592423	3.88902187737482e-05	8.16154446803571e-08	8.35529541864244e-07	"NA"	NA
"SLC15A2"	0.366765498281426	0.111213553443313	-0.255551944838113	296	273	33	7	0.111486486486486	0.0256410256410256	0.000124259181951658	5.22290537819971e-05	7.71225069125529e-05	8.18899107328615e-08	8.3789928609183e-07	"NA"	NA
"ABCC1"	0.727937565999308	1.33438358195224	0.606446015952927	296	273	77	113	0.260135135135135	0.413919413919414	0.000146457460517372	0.000125569047377883	3.28783956298873e-05	8.38308147060711e-08	8.57308625525046e-07	"NA"	NA
"LRRC58"	0.782060563847816	1.49755240492257	0.715491841074754	296	273	69	105	0.233108108108108	0.384615384615385	0.000129371288090916	0.000124051303931887	3.36193324272252e-05	8.46416812914378e-08	8.65147169235819e-07	"NA"	NA
"INIP"	1.20398570552588	0.472078711589317	-0.731906993936561	296	273	77	36	0.260135135135135	0.131868131868132	0.000194234650375678	0.000140931467080221	2.9621978709976e-05	8.4721694452681e-08	8.65511146892903e-07	"NA"	NA
"PPARD"	0.0147179892282161	0.144357267802307	0.129639278574091	296	273	2	19	0.00675675675675676	0.0695970695970696	0.000177136257624521	5.78984636923719e-05	7.23354001727159e-05	8.49809800334213e-08	8.67705218864038e-07	"NA"	NA
"UNK"	0.588710588667576	1.03154536500388	0.442834776336299	296	273	41	76	0.138513513513514	0.278388278388278	5.80537201726501e-05	4.5984226728586e-05	9.33486237552107e-05	8.6994745510682e-08	8.87801874080741e-07	"NA"	NA
"SEC24B"	0.446159741522742	0.870274229729821	0.424114488207079	296	273	40	74	0.135135135135135	0.271062271062271	8.07508735017296e-05	6.15143159320762e-05	7.00648830460825e-05	8.73305053237656e-08	8.90762014532098e-07	"NA"	NA
"C4orf21"	0.0753395216144482	0.3931392230013	0.317799701386851	296	273	11	35	0.0371621621621622	0.128205128205128	0.000130115706956999	8.30922467202972e-05	5.19984422657135e-05	8.75360990381303e-08	8.9238103254696e-07	"NA"	NA
"RNF111"	0.32300067771249	0.828831228179125	0.505830550466635	296	273	30	61	0.101351351351351	0.223443223443223	0.000115715222099382	8.69043214772038e-05	4.97442266407724e-05	8.7580798033159e-08	8.9238103254696e-07	"NA"	NA
"EPS15L1"	0.179790421179565	0.684788483019796	0.504998061840231	296	273	21	49	0.0709459459459459	0.179487179487179	0.000138802663018199	0.000104085520415802	4.18803780572169e-05	8.82769233094037e-08	8.99004069564732e-07	"NA"	NA
"C16orf62"	0.670415396065047	0.272603497581847	-0.3978118984832	296	273	67	28	0.226351351351351	0.102564102564103	0.000121509507571951	7.46543143258198e-05	5.99183573948396e-05	9.04704994857572e-08	9.20862128447195e-07	"NA"	NA
"UBE3B"	0.676609600527148	0.274067497676731	-0.402542102850417	296	273	60	23	0.202702702702703	0.0842490842490843	0.000104307405965132	7.33317860982758e-05	6.16948369732262e-05	9.1451244978908e-08	9.30358907687304e-07	"NA"	NA
"SYNRG"	0.755621503285033	0.38902272522504	-0.366598778059993	296	273	68	28	0.22972972972973	0.102564102564103	8.33577738297805e-05	4.9618921370047e-05	9.28177829406338e-05	9.30130959974021e-08	9.45754442974106e-07	"NA"	NA
"MBD4"	1.99279619765009	1.15958638148148	-0.833209816168611	296	273	128	75	0.432432432432432	0.274725274725275	0.000125223483837901	0.000111486275016605	4.13917014970038e-05	9.31875469653418e-08	9.47034236417332e-07	"NA"	NA
"HES4"	0.0354042457311624	0.182370703907677	0.146966458176514	296	273	2	19	0.00675675675675676	0.0695970695970696	0.000177136257624521	5.78984636923719e-05	7.97899660393796e-05	9.32856225153713e-08	9.47536922391671e-07	"NA"	NA
"SNORD3A"	0.108535870577958	0.322457595233226	0.213921724655268	296	273	17	44	0.0574324324324324	0.161172161172161	0.000113183195548342	6.81327706682532e-05	6.78984793101248e-05	9.34083581959928e-08	9.48289436435569e-07	"NA"	NA
"CNPY2"	1.48137579343635	0.885455884894347	-0.595919908542002	296	273	134	81	0.452702702702703	0.296703296703297	0.000178421446648471	0.000138390516764237	3.34879239898379e-05	9.35676326826789e-08	9.49411918922841e-07	"NA"	NA
"CLHC1"	0.461709319122481	0.159768109392607	-0.301941209729873	296	273	44	13	0.148648648648649	0.0476190476190476	0.000108659485328655	6.74893819537813e-05	6.94603893282328e-05	9.45925892972674e-08	9.59312565339405e-07	"NA"	NA
"ZNF35"	0.174075877443651	0.406378504547569	0.232302627103919	296	273	10	34	0.0337837837837838	0.124542124542125	9.93902192424701e-05	5.74587051520253e-05	8.17231343794995e-05	9.47434532848517e-08	9.60342897258622e-07	"NA"	NA
"RUVBL2"	1.62637722195496	0.979429688888563	-0.646947533066393	296	273	131	76	0.442567567567568	0.278388278388278	6.9008958491576e-05	5.76809302562917e-05	8.17751340095988e-05	9.51491890237004e-08	9.63954258030129e-07	"NA"	NA
"PRAM1"	0.904843350721063	0.512566837768662	-0.392276512952401	296	273	80	36	0.27027027027027	0.131868131868132	6.61128763855689e-05	4.41785035553476e-05	0.000107233642905332	9.55432478185865e-08	9.67219158112915e-07	"NA"	NA
"ATXN2L"	0.390308722266557	0.825919144178031	0.435610421911475	296	273	38	71	0.128378378378378	0.26007326007326	0.000103844146364581	7.37860801939065e-05	6.42242292322429e-05	9.55707007246806e-08	9.67219158112915e-07	"NA"	NA
"STX3"	0.251817644210403	0.77315031842309	0.521332674212687	296	273	23	52	0.0777027027027027	0.19047619047619	0.000118713215956792	9.93194262140099e-05	4.78341670051358e-05	9.58008464365444e-08	9.69045199139141e-07	"NA"	NA
"PPP6C"	1.01764695653657	1.67160947774217	0.653962521205595	296	273	79	117	0.266891891891892	0.428571428571429	7.29724113263344e-05	6.73378617634845e-05	7.25111787881164e-05	9.83266142938733e-08	9.94077990568557e-07	"NA"	NA
"PDE12"	0.215653475770602	0.554033012815088	0.338379537044486	296	273	22	51	0.0743243243243243	0.186813186813187	0.000103125038299324	8.16143902399742e-05	6.10371796813347e-05	1.00215732804311e-07	1.0126516660558e-06	"NA"	NA
"SORL1"	2.38213181349735	1.64862040774908	-0.733511405748274	296	273	165	105	0.557432432432432	0.384615384615385	5.33832217831847e-05	3.87003359449262e-05	0.000128843650546891	1.00307119176765e-07	1.01304993108471e-06	"NA"	NA
"MED15"	0.529792109219964	0.960896622862367	0.431104513642403	296	273	47	82	0.158783783783784	0.3003663003663	8.51276814509456e-05	5.89441467880032e-05	8.47995991130856e-05	1.00539322145658e-07	1.0148692217831e-06	"NA"	NA
"PAK1IP1"	1.11014645164828	0.462889576129124	-0.647256875519157	296	273	79	37	0.266891891891892	0.135531135531136	0.000155842077502995	0.000108171277416386	4.64032886304833e-05	1.00941878764187e-07	1.01840533171404e-06	"NA"	NA
"SLC39A7"	0.038269881231705	0.245253418839536	0.206983537607831	296	273	8	30	0.027027027027027	0.10989010989011	0.000152187236045993	7.48589448543978e-05	6.75111532268308e-05	1.01597436798744e-07	1.02448900055929e-06	"NA"	NA
"HMOX2"	0.782717703256655	0.272369117062121	-0.510348586194533	296	273	58	22	0.195945945945946	0.0805860805860806	0.000125959687677045	9.37050856275133e-05	5.40665321278185e-05	1.01836121113015e-07	1.02636487731897e-06	"NA"	NA
"KDM6A"	0.347464532476781	0.776702892480901	0.42923836000412	296	273	33	65	0.111486486486486	0.238095238095238	0.000102387450777663	8.76116866242155e-05	5.85718743787878e-05	1.03082434181764e-07	1.03838904758189e-06	"NA"	NA
"MYO9B"	1.41471103188989	2.28108563073592	0.86637459884603	296	273	114	148	0.385135135135135	0.542124542124542	0.000243214585571028	0.000208409642271111	2.47476183811283e-05	1.03579827905124e-07	1.04286054004478e-06	"NA"	NA
"TMEM220"	1.09170958755258	0.490195164828606	-0.601514422723979	296	273	83	40	0.280405405405405	0.146520146520147	0.000160533213856717	0.000103858730132356	5.01551085769733e-05	1.04560496366548e-07	1.05219060153678e-06	"NA"	NA
"AATF"	1.26737073043119	0.622327947075263	-0.645042783355931	296	273	87	42	0.293918918918919	0.153846153846154	0.000101693377399829	8.47262845573869e-05	6.33348593460078e-05	1.0755414492185e-07	1.08131969898916e-06	"NA"	NA
"CASP6"	1.76322690637706	0.938435644795304	-0.824791261581751	296	273	122	72	0.412162162162162	0.263736263736264	0.000269552335787545	0.000200394677880221	2.6780932720843e-05	1.07566124376153e-07	1.08131969898916e-06	"NA"	NA
"GADD45A"	1.67889046396484	2.64334481207975	0.964454348114911	296	273	119	153	0.402027027027027	0.56043956043956	0.000219631138352504	0.000213281023739161	2.5207626310845e-05	1.07748014251501e-07	1.08258984215992e-06	"NA"	NA
"GTF2H1"	0.63902550646924	0.262953061708098	-0.376072444761142	296	273	57	21	0.192567567567568	0.0769230769230769	0.000102322170908015	7.77823547426122e-05	6.92665671233647e-05	1.07965231562211e-07	1.08421344338517e-06	"NA"	NA
"KIAA0368"	0.712950440854125	1.22136893990149	0.508418499047365	296	273	65	102	0.219594594594595	0.373626373626374	8.18387424599168e-05	7.00462324224925e-05	7.70130795636581e-05	1.08093920036929e-07	1.08494680193605e-06	"NA"	NA
"ARL6IP5"	4.34855552028092	3.22580867084277	-1.12274684943815	296	273	234	184	0.790540540540541	0.673992673992674	0.00228361605268827	0.00173587068616695	3.11149245905276e-06	1.08220945839635e-07	1.08566272583951e-06	"up_in_pre-TP53-sAML"	NA
"BMP2K"	0.457253575319184	0.196508882831942	-0.260744692487242	296	273	52	18	0.175675675675676	0.0659340659340659	0.000116277942909046	6.31262042187992e-05	8.66977099222359e-05	1.09586328323399e-07	1.09879460477351e-06	"NA"	NA
"COPS6"	3.93704673159765	2.855450850426	-1.08159588117164	296	273	227	170	0.766891891891892	0.622710622710623	0.000262211401961079	0.00024639770173823	2.2423811455146e-05	1.10580592788297e-07	1.1081937864419e-06	"up_in_pre-TP53-sAML"	NA
"MAGED1"	1.02219600520257	1.92445017898342	0.902254173780853	296	273	92	124	0.310810810810811	0.454212454212454	0.000592537863647585	0.000531974289682227	1.04137093219483e-05	1.10859128004743e-07	1.11041424618111e-06	"NA"	NA
"MEA1"	2.0507418801207	1.08202557065722	-0.968716309463471	296	273	127	79	0.429054054054054	0.289377289377289	0.00073483585352299	0.000647776297564251	8.5893583727925e-06	1.1131833422253e-07	1.1144411765103e-06	"NA"	NA
"ARPC3"	4.57316959275521	3.51232341082416	-1.06084618193105	296	273	246	209	0.831081081081081	0.765567765567766	0.0649332465253252	0.0590968484469856	9.49004654232751e-08	1.12160843747947e-07	1.12229936670174e-06	"up_in_pre-TP53-sAML"	NA
"ZMYM2"	1.39300040908462	2.02667859419418	0.633678185109557	296	273	112	150	0.378378378378378	0.549450549450549	6.17537147271771e-05	5.18059018270437e-05	0.000109002388463956	1.12894996457945e-07	1.12906581372923e-06	"NA"	NA
"CEP85L"	0.338547708706641	0.718490881626378	0.379943172919737	296	273	25	55	0.0844594594594595	0.201465201465201	9.99746395958067e-05	6.13501570253267e-05	9.4333769124412e-05	1.15560227793437e-07	1.1550314649962e-06	"NA"	NA
